reference_date,vintage_date,available,nfci
2020-01-03,2020-01-10,True,-0.79
2020-01-10,2020-01-17,True,-0.79
2020-01-17,2020-01-24,True,-0.82
2020-01-24,2020-01-31,True,-0.82
2020-01-31,2020-02-07,True,-0.79
2020-02-07,2020-02-14,True,-0.81
2020-02-14,2020-02-21,True,-0.83
2020-02-21,2020-02-28,True,-0.84
2020-02-28,2020-03-06,True,-0.76
2020-03-06,2020-03-13,True,-0.67
2020-03-13,2020-03-20,True,-0.48
2020-03-20,2020-03-27,True,-0.17
2020-03-27,2020-04-03,True,0.05
2020-04-03,2020-04-10,True,0.07
2020-04-10,2020-04-17,True,-0.02
2020-04-17,2020-04-24,True,-0.15
2020-04-24,2020-05-01,True,-0.23
2020-05-01,2020-05-08,True,-0.28
2020-05-08,2020-05-15,True,-0.4
2020-05-15,2020-05-22,True,-0.46
2020-05-22,2020-05-29,True,-0.51
2020-05-29,2020-06-05,True,-0.51
2020-06-05,2020-06-12,True,-0.58
2020-06-12,2020-06-19,True,-0.59
2020-06-19,2020-06-26,True,-0.59
2020-06-26,2020-07-03,True,-0.6
2020-07-03,2020-07-10,True,-0.39
2020-07-10,2020-07-17,True,-0.43
2020-07-17,2020-07-24,True,-0.47
2020-07-24,2020-07-31,True,-0.5
2020-07-31,2020-08-07,True,-0.47
2020-08-07,2020-08-14,True,-0.52
2020-08-14,2020-08-21,True,-0.53
2020-08-21,2020-08-28,True,-0.53871
2020-08-28,2020-09-04,True,-0.53305
2020-09-04,2020-09-11,True,-0.50764
2020-09-11,2020-09-18,True,-0.4798
2020-09-18,2020-09-25,True,-0.49027
2020-09-25,2020-10-02,True,-0.48696
2020-10-02,2020-10-09,True,-0.48585
2020-10-09,2020-10-16,True,-0.50183
2020-10-16,2020-10-23,True,-0.5178
2020-10-23,2020-10-30,True,-0.51891
2020-10-30,2020-11-06,True,-0.49689
2020-11-06,2020-11-13,True,-0.47838
2020-11-13,2020-11-20,True,-0.52767
2020-11-20,2020-11-27,True,-0.57355
2020-11-27,2020-12-04,True,-0.60098
2020-12-04,2020-12-11,True,-0.61311
2020-12-11,2020-12-18,True,-0.62094
2020-12-18,2020-12-25,True,-0.61428
2020-12-25,2021-01-01,True,-0.60471
2021-01-01,2021-01-08,True,-0.60442
2021-01-08,2021-01-15,True,-0.61765
2021-01-15,2021-01-22,True,-0.6171
2021-01-22,2021-01-29,True,-0.63774
2021-01-29,2021-02-05,True,-0.59809
2021-02-05,2021-02-12,True,-0.62002
2021-02-12,2021-02-19,True,-0.64392
2021-02-19,2021-02-26,True,-0.65002
2021-02-26,2021-03-05,True,-0.63587
2021-03-05,2021-03-12,True,-0.62517
2021-03-12,2021-03-19,True,-0.62826
2021-03-19,2021-03-26,True,-0.62672
2021-03-26,2021-04-02,True,-0.63474
2021-04-02,2021-04-09,True,-0.65224
2021-04-09,2021-04-16,True,-0.6747
2021-04-16,2021-04-23,True,-0.68654
2021-04-23,2021-04-30,True,-0.68461
2021-04-30,2021-05-07,True,-0.70671
2021-05-07,2021-05-14,True,-0.7022
2021-05-14,2021-05-21,True,-0.6979
2021-05-21,2021-05-28,True,-0.68875
2021-05-28,2021-06-04,True,-0.70655
2021-06-04,2021-06-11,True,-0.71256
2021-06-11,2021-06-18,True,-0.71895
2021-06-18,2021-06-25,True,-0.70998
2021-06-25,2021-07-02,True,-0.7165
2021-07-02,2021-07-09,True,-0.71149
2021-07-09,2021-07-16,True,-0.70853
2021-07-16,2021-07-23,True,-0.69899
2021-07-23,2021-07-30,True,-0.67717
2021-07-30,2021-08-06,True,-0.69228
2021-08-06,2021-08-13,True,-0.67826
2021-08-13,2021-08-20,True,-0.67943
2021-08-20,2021-08-27,True,-0.66728
