reference_date,first_vintage_date,revised_vintage_date,first_available,revised_available,compout_first,compout_revised
2020-01-01,2020-01-02,2020-01-09,True,True,1126.364188416,1126.364188416
2020-01-08,2020-01-09,2020-01-16,True,True,1125.912092773,1125.912092773
2020-01-15,2020-01-16,2020-01-23,True,True,1121.291890991,1121.291890991
2020-01-22,2020-01-23,2020-01-30,True,True,1115.041298706,1115.041298706
2020-01-29,2020-01-30,2020-02-06,True,True,1119.422133911,1119.422133911
2020-02-05,2020-02-06,2020-02-13,True,True,1119.126152344,1119.126152344
2020-02-12,2020-02-13,2020-02-20,True,True,1113.087992065,1113.087992065
2020-02-19,2020-02-20,2020-02-27,True,True,1123.429453003,1123.429453003
2020-02-26,2020-02-27,2020-03-05,True,True,1128.703865601,1128.703865601
2020-03-04,2020-03-05,2020-03-12,True,True,1123.592554932,1123.592554932
2020-03-11,2020-03-12,2020-03-19,True,True,1128.893451172,1128.893451172
2020-03-18,2020-03-19,2020-03-26,True,True,1146.802728271,1146.802728271
2020-03-25,2020-03-26,2020-04-02,True,True,1111.650329102,1111.650329102
2020-04-01,2020-04-02,2020-04-09,True,True,1105.64662146,1105.64662146
2020-04-08,2020-04-09,2020-04-16,True,True,1098.873292603,1098.873292603
2020-04-15,2020-04-16,2020-04-23,True,True,1058.735181763,1058.735181763
2020-04-22,2020-04-23,2020-04-30,True,True,1068.620878906,1068.620878906
2020-04-29,2020-04-30,2020-05-07,True,True,1093.062012451,1093.062012451
2020-05-06,2020-05-07,2020-05-14,True,True,1069.024864746,1069.024864746
2020-05-13,2020-05-14,2020-05-21,True,True,1061.722700684,1061.722700684
2020-05-20,2020-05-21,2020-05-28,True,True,1057.695986328,1057.695986328
2020-05-27,2020-05-28,2020-06-04,True,True,1051.020539795,1051.020539795
2020-06-03,2020-06-04,2020-06-11,True,True,1037.203708496,1037.203708496
2020-06-10,2020-06-11,2020-06-18,True,True,1028.124085205,1028.124085205
2020-06-17,2020-06-18,2020-06-25,True,True,1011.266637451,1011.04067074
2020-06-24,2020-06-25,2020-07-02,True,True,1028.093648438,1028.093648438
2020-07-01,2020-07-02,2020-07-09,True,True,1017.4320625,1017.4320625
2020-07-08,2020-07-09,2020-07-16,True,True,1006.7195625,1006.7195625
2020-07-15,2020-07-16,2020-07-23,True,True,1025.716515625,1025.716515625
2020-07-22,2020-07-23,2020-07-30,True,True,1020.953664063,1020.953664063
2020-07-29,2020-07-30,2020-08-06,True,True,1019.430382813,1019.430382813
2020-08-05,2020-08-06,2020-08-13,True,True,1018.390515625,1018.390515625
2020-08-12,2020-08-13,2020-08-20,True,True,1009.539835938,1009.539835938
2020-08-19,2020-08-20,2020-08-27,True,True,1006.675921875,1006.675921875
2020-08-26,2020-08-27,2020-09-03,True,True,1011.64278125,1011.64278125
2020-09-02,2020-09-03,2020-09-10,False,True,,996.594816406
2020-09-09,2020-09-10,2020-09-17,True,True,1009.491429688,1009.491429688
2020-09-16,2020-09-17,2020-09-24,True,True,983.499421875,983.499421875
2020-09-23,2020-09-24,2020-10-01,True,True,985.508015625,985.508015625
2020-09-30,2020-10-01,2020-10-08,True,True,945.324921875,945.324921875
2020-10-07,2020-10-08,2020-10-15,True,True,964.29140625,964.29140625
2020-10-14,2020-10-15,2020-10-22,True,True,962.37103125,962.37103125
2020-10-21,2020-10-22,2020-10-29,True,True,973.79190625,973.79190625
2020-10-28,2020-10-29,2020-11-05,True,True,973.465953125,973.465953125
2020-11-04,2020-11-05,2020-11-12,True,True,951.021234375,951.021234375
2020-11-11,2020-11-12,2020-11-19,True,True,961.503628941,961.503628941
2020-11-18,2020-11-19,2020-11-26,True,True,982.848236938,982.848236938
2020-11-25,2020-11-26,2020-12-03,False,True,,983.599837433
2020-12-02,2020-12-03,2020-12-10,True,True,968.926846207,968.926846207
2020-12-09,2020-12-10,2020-12-17,True,True,990.077243591,990.077243591
2020-12-16,2020-12-17,2020-12-24,True,True,997.317819756,997.317819756
2020-12-23,2020-12-24,2020-12-31,False,True,,1029.576712227
2020-12-30,2020-12-31,2021-01-07,True,True,1020.55028212,1020.55028212
2021-01-06,2021-01-07,2021-01-14,True,True,1105.160708595,1105.160708595
2021-01-13,2021-01-14,2021-01-21,True,True,1060.847143883,1060.847143883
2021-01-20,2021-01-21,2021-01-28,True,True,1058.108976028,1058.108976028
2021-01-27,2021-01-28,2021-02-04,True,True,1068.051689995,1068.051689995
2021-02-03,2021-02-04,2021-02-11,True,True,1056.913637718,1056.913637718
2021-02-10,2021-02-11,2021-02-18,True,True,1076.56217411,1076.56217411
2021-02-17,2021-02-18,2021-02-25,True,True,1075.506302589,1075.506302589
2021-02-24,2021-02-25,2021-03-04,True,True,1089.447963921,1089.447963921
2021-03-03,2021-03-04,2021-03-11,True,True,1098.860140633,1098.860140633
2021-03-10,2021-03-11,2021-03-18,True,True,1110.755139244,1110.755139244
