document_class,meeting_date,release_date,last_update_date,encoding,source_eligible,official_url,index_url
fomc_minutes,2011-12-13,2012-01-03,2012-01-03,windows-1252,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20111213.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2011.htm
fomc_statement,2012-01-25,2012-01-25,2012-01-25,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20120125a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
fomc_minutes,2012-01-25,2012-02-15,2012-02-15,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120125.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
fomc_statement,2012-03-13,2012-03-13,2012-03-13,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20120313a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
fomc_minutes,2012-03-13,2012-04-03,2012-04-03,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120313.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
fomc_statement,2012-04-25,2012-04-25,2012-04-25,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20120425a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
fomc_minutes,2012-04-25,2012-05-16,2012-05-16,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120425.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
fomc_statement,2012-06-20,2012-06-20,2012-06-20,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20120620a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
fomc_minutes,2012-06-20,2012-07-11,2012-07-11,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120620.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
fomc_statement,2012-08-01,2012-08-01,2012-08-01,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20120801a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
fomc_minutes,2012-08-01,2012-08-22,2012-08-22,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120801.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
fomc_statement,2012-09-13,2012-09-13,2012-09-13,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20120913a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
fomc_minutes,2012-09-13,2012-10-04,2012-10-04,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120913.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
fomc_statement,2012-10-24,2012-10-24,2012-10-24,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20121024a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
fomc_minutes,2012-10-24,2012-11-14,2012-11-14,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20121024.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
fomc_statement,2012-12-12,2012-12-12,2012-12-12,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20121212a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
fomc_minutes,2012-12-12,2013-01-03,2013-01-03,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20121212.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm
fomc_statement,2013-01-30,2013-01-30,2013-01-30,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20130130a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
fomc_minutes,2013-01-30,2013-02-20,2013-02-20,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130130.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
fomc_statement,2013-03-20,2013-03-20,2013-03-20,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20130320a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
fomc_minutes,2013-03-20,2013-04-10,2013-04-10,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130320.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
fomc_statement,2013-05-01,2013-05-01,2013-05-01,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20130501a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
fomc_minutes,2013-05-01,2013-05-22,2013-05-22,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130501.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
fomc_statement,2013-06-19,2013-06-19,2013-06-19,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20130619a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
fomc_minutes,2013-06-19,2013-07-10,2013-07-10,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130619.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
fomc_statement,2013-07-31,2013-07-31,2013-07-31,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20130731a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
fomc_minutes,2013-07-31,2013-08-21,2013-08-21,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130731.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
fomc_statement,2013-09-18,2013-09-18,2013-09-18,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20130918a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm
