release_date,release_time_et,releases,source_url
"January 06, 2023","08:30 AM","Employment Situation for December 2022","https://www.bls.gov/schedule/2023/01_sched_list.htm"
"January 12, 2023","08:30 AM","Consumer Price Index for December 2022","https://www.bls.gov/schedule/2023/01_sched_list.htm"
"January 13, 2023","08:30 AM","U.S. Import and Export Price Indexes for December 2022","https://www.bls.gov/schedule/2023/01_sched_list.htm"
"January 18, 2023","08:30 AM","Producer Price Index for December 2022","https://www.bls.gov/schedule/2023/01_sched_list.htm"
"January 31, 2023","08:30 AM","Employment Cost Index for Fourth Quarter 2022","https://www.bls.gov/schedule/2023/01_sched_list.htm"
"February 02, 2023","08:30 AM","Productivity and Costs (P) for Fourth Quarter 2022","https://www.bls.gov/schedule/2023/02_sched_list.htm"
"February 03, 2023","08:30 AM","Employment Situation for January 2023","https://www.bls.gov/schedule/2023/02_sched_list.htm"
"February 14, 2023","08:30 AM","Consumer Price Index for January 2023","https://www.bls.gov/schedule/2023/02_sched_list.htm"
"February 16, 2023","08:30 AM","Producer Price Index for January 2023","https://www.bls.gov/schedule/2023/02_sched_list.htm"
"February 17, 2023","08:30 AM","U.S. Import and Export Price Indexes for January 2023","https://www.bls.gov/schedule/2023/02_sched_list.htm"
"March 02, 2023","08:30 AM","Productivity and Costs (R) for Fourth Quarter 2022","https://www.bls.gov/schedule/2023/03_sched_list.htm"
"March 10, 2023","08:30 AM","Employment Situation for February 2023","https://www.bls.gov/schedule/2023/03_sched_list.htm"
"March 14, 2023","08:30 AM","Consumer Price Index for February 2023","https://www.bls.gov/schedule/2023/03_sched_list.htm"
"March 15, 2023","08:30 AM","Producer Price Index for February 2023","https://www.bls.gov/schedule/2023/03_sched_list.htm"
"March 16, 2023","08:30 AM","U.S. Import and Export Price Indexes for February 2023","https://www.bls.gov/schedule/2023/03_sched_list.htm"
"April 07, 2023","08:30 AM","Employment Situation for March 2023","https://www.bls.gov/schedule/2023/04_sched_list.htm"
"April 12, 2023","08:30 AM","Consumer Price Index for March 2023","https://www.bls.gov/schedule/2023/04_sched_list.htm"
"April 13, 2023","08:30 AM","Producer Price Index for March 2023","https://www.bls.gov/schedule/2023/04_sched_list.htm"
"April 14, 2023","08:30 AM","U.S. Import and Export Price Indexes for March 2023","https://www.bls.gov/schedule/2023/04_sched_list.htm"
"April 28, 2023","08:30 AM","Employment Cost Index for First Quarter 2023","https://www.bls.gov/schedule/2023/04_sched_list.htm"
"May 04, 2023","08:30 AM","Productivity and Costs (P) for First Quarter 2023","https://www.bls.gov/schedule/2023/05_sched_list.htm"
"May 05, 2023","08:30 AM","Employment Situation for April 2023","https://www.bls.gov/schedule/2023/05_sched_list.htm"
"May 10, 2023","08:30 AM","Consumer Price Index for April 2023","https://www.bls.gov/schedule/2023/05_sched_list.htm"
"May 11, 2023","08:30 AM","Producer Price Index for April 2023","https://www.bls.gov/schedule/2023/05_sched_list.htm"
"May 12, 2023","08:30 AM","U.S. Import and Export Price Indexes for April 2023","https://www.bls.gov/schedule/2023/05_sched_list.htm"
"June 01, 2023","08:30 AM","Productivity and Costs (R) for First Quarter 2023","https://www.bls.gov/schedule/2023/06_sched_list.htm"
"June 02, 2023","08:30 AM","Employment Situation for May 2023","https://www.bls.gov/schedule/2023/06_sched_list.htm"
"June 13, 2023","08:30 AM","Consumer Price Index for May 2023","https://www.bls.gov/schedule/2023/06_sched_list.htm"
"June 14, 2023","08:30 AM","Producer Price Index for May 2023","https://www.bls.gov/schedule/2023/06_sched_list.htm"
"June 15, 2023","08:30 AM","U.S. Import and Export Price Indexes for May 2023","https://www.bls.gov/schedule/2023/06_sched_list.htm"
"July 07, 2023","08:30 AM","Employment Situation for June 2023","https://www.bls.gov/schedule/2023/07_sched_list.htm"
"July 12, 2023","08:30 AM","Consumer Price Index for June 2023","https://www.bls.gov/schedule/2023/07_sched_list.htm"
"July 13, 2023","08:30 AM","Producer Price Index for June 2023","https://www.bls.gov/schedule/2023/07_sched_list.htm"
"July 14, 2023","08:30 AM","U.S. Import and Export Price Indexes for June 2023","https://www.bls.gov/schedule/2023/07_sched_list.htm"
"July 28, 2023","08:30 AM","Employment Cost Index for Second Quarter 2023","https://www.bls.gov/schedule/2023/07_sched_list.htm"
"August 03, 2023","08:30 AM","Productivity and Costs (P) for Second Quarter 2023","https://www.bls.gov/schedule/2023/08_sched_list.htm"
"August 04, 2023","08:30 AM","Employment Situation for July 2023","https://www.bls.gov/schedule/2023/08_sched_list.htm"
"August 10, 2023","08:30 AM","Consumer Price Index for July 2023","https://www.bls.gov/schedule/2023/08_sched_list.htm"
"August 11, 2023","08:30 AM","Producer Price Index for July 2023","https://www.bls.gov/schedule/2023/08_sched_list.htm"
"August 15, 2023","08:30 AM","U.S. Import and Export Price Indexes for July 2023","https://www.bls.gov/schedule/2023/08_sched_list.htm"
"September 01, 2023","08:30 AM","Employment Situation for August 2023","https://www.bls.gov/schedule/2023/09_sched_list.htm"
"September 07, 2023","08:30 AM","Productivity and Costs (R) for Second Quarter 2023","https://www.bls.gov/schedule/2023/09_sched_list.htm"
"September 13, 2023","08:30 AM","Consumer Price Index for August 2023","https://www.bls.gov/schedule/2023/09_sched_list.htm"
"September 14, 2023","08:30 AM","Producer Price Index for August 2023","https://www.bls.gov/schedule/2023/09_sched_list.htm"
"September 15, 2023","08:30 AM","U.S. Import and Export Price Indexes for August 2023","https://www.bls.gov/schedule/2023/09_sched_list.htm"
"October 06, 2023","08:30 AM","Employment Situation for September 2023","https://www.bls.gov/schedule/2023/10_sched_list.htm"
"October 11, 2023","08:30 AM","Producer Price Index for September 2023","https://www.bls.gov/schedule/2023/10_sched_list.htm"
"October 12, 2023","08:30 AM","Consumer Price Index for September 2023","https://www.bls.gov/schedule/2023/10_sched_list.htm"
"October 13, 2023","08:30 AM","U.S. Import and Export Price Indexes for September 2023","https://www.bls.gov/schedule/2023/10_sched_list.htm"
"October 31, 2023","08:30 AM","Employment Cost Index for Third Quarter 2023","https://www.bls.gov/schedule/2023/10_sched_list.htm"
"November 02, 2023","08:30 AM","Productivity and Costs (P) for Third Quarter 2023","https://www.bls.gov/schedule/2023/11_sched_list.htm"
"November 03, 2023","08:30 AM","Employment Situation for October 2023","https://www.bls.gov/schedule/2023/11_sched_list.htm"
"November 14, 2023","08:30 AM","Consumer Price Index for October 2023","https://www.bls.gov/schedule/2023/11_sched_list.htm"
"November 15, 2023","08:30 AM","Producer Price Index for October 2023","https://www.bls.gov/schedule/2023/11_sched_list.htm"
"November 16, 2023","08:30 AM","U.S. Import and Export Price Indexes for October 2023","https://www.bls.gov/schedule/2023/11_sched_list.htm"
"December 06, 2023","08:30 AM","Productivity and Costs (R) for Third Quarter 2023","https://www.bls.gov/schedule/2023/12_sched_list.htm"
"December 08, 2023","08:30 AM","Employment Situation for November 2023","https://www.bls.gov/schedule/2023/12_sched_list.htm"
"December 12, 2023","08:30 AM","Consumer Price Index for November 2023","https://www.bls.gov/schedule/2023/12_sched_list.htm"
"December 13, 2023","08:30 AM","Producer Price Index for November 2023","https://www.bls.gov/schedule/2023/12_sched_list.htm"
"December 14, 2023","08:30 AM","U.S. Import and Export Price Indexes for November 2023","https://www.bls.gov/schedule/2023/12_sched_list.htm"
"January 05, 2024","08:30 AM","Employment Situation for December 2023","https://www.bls.gov/schedule/2024/01_sched_list.htm"
"January 11, 2024","08:30 AM","Consumer Price Index for December 2023","https://www.bls.gov/schedule/2024/01_sched_list.htm"
"January 12, 2024","08:30 AM","Producer Price Index for December 2023","https://www.bls.gov/schedule/2024/01_sched_list.htm"
"January 17, 2024","08:30 AM","U.S. Import and Export Price Indexes for December 2023","https://www.bls.gov/schedule/2024/01_sched_list.htm"
"January 31, 2024","08:30 AM","Employment Cost Index for Fourth Quarter 2023","https://www.bls.gov/schedule/2024/01_sched_list.htm"
"February 01, 2024","08:30 AM","Productivity and Costs (P) for Fourth Quarter 2023","https://www.bls.gov/schedule/2024/02_sched_list.htm"
"February 02, 2024","08:30 AM","Employment Situation for January 2024","https://www.bls.gov/schedule/2024/02_sched_list.htm"
"February 13, 2024","08:30 AM","Consumer Price Index for January 2024","https://www.bls.gov/schedule/2024/02_sched_list.htm"
"February 15, 2024","08:30 AM","U.S. Import and Export Price Indexes for January 2024","https://www.bls.gov/schedule/2024/02_sched_list.htm"
"February 16, 2024","08:30 AM","Producer Price Index for January 2024","https://www.bls.gov/schedule/2024/02_sched_list.htm"
"March 07, 2024","08:30 AM","Productivity and Costs (R) for Fourth Quarter 2023","https://www.bls.gov/schedule/2024/03_sched_list.htm"
"March 08, 2024","08:30 AM","Employment Situation for February 2024","https://www.bls.gov/schedule/2024/03_sched_list.htm"
"March 12, 2024","08:30 AM","Consumer Price Index for February 2024","https://www.bls.gov/schedule/2024/03_sched_list.htm"
"March 14, 2024","08:30 AM","Producer Price Index for February 2024","https://www.bls.gov/schedule/2024/03_sched_list.htm"
"March 15, 2024","08:30 AM","U.S. Import and Export Price Indexes for February 2024","https://www.bls.gov/schedule/2024/03_sched_list.htm"
"April 10, 2024","08:30 AM","Consumer Price Index for March 2024","https://www.bls.gov/schedule/2024/04_sched_list.htm"
"April 11, 2024","08:30 AM","Producer Price Index for March 2024","https://www.bls.gov/schedule/2024/04_sched_list.htm"
"April 12, 2024","08:30 AM","U.S. Import and Export Price Indexes for March 2024","https://www.bls.gov/schedule/2024/04_sched_list.htm"
"April 30, 2024","08:30 AM","Employment Cost Index for First Quarter 2024","https://www.bls.gov/schedule/2024/04_sched_list.htm"
"May 14, 2024","08:30 AM","Producer Price Index for April 2024","https://www.bls.gov/schedule/2024/05_sched_list.htm"
"May 15, 2024","08:30 AM","Consumer Price Index for April 2024","https://www.bls.gov/schedule/2024/05_sched_list.htm"
"May 16, 2024","08:30 AM","U.S. Import and Export Price Indexes for April 2024","https://www.bls.gov/schedule/2024/05_sched_list.htm"
"June 12, 2024","08:30 AM","Consumer Price Index for May 2024","https://www.bls.gov/schedule/2024/06_sched_list.htm"
"June 13, 2024","08:30 AM","Producer Price Index for May 2024","https://www.bls.gov/schedule/2024/06_sched_list.htm"
