reference_date,first_vintage_date,revised_vintage_date,first_available,revised_available,icsa_first,icsa_revised
2020-01-04,2020-01-09,2020-01-16,True,True,214000.0,214000.0
2020-01-11,2020-01-16,2020-01-23,True,True,204000.0,205000.0
2020-01-18,2020-01-23,2020-01-30,True,True,211000.0,223000.0
2020-01-25,2020-01-30,2020-02-06,True,True,216000.0,217000.0
2020-02-01,2020-02-06,2020-02-13,True,True,202000.0,203000.0
2020-02-08,2020-02-13,2020-02-20,True,True,205000.0,206000.0
2020-02-15,2020-02-20,2020-02-27,True,True,210000.0,211000.0
2020-02-22,2020-02-27,2020-03-05,True,True,219000.0,219000.0
2020-02-29,2020-03-05,2020-03-12,True,True,216000.0,215000.0
2020-03-07,2020-03-12,2020-03-19,True,True,211000.0,211000.0
2020-03-14,2020-03-19,2020-03-26,True,True,281000.0,282000.0
2020-03-21,2020-03-26,2020-04-02,True,True,3283000.0,3307000.0
2020-03-28,2020-04-02,2020-04-09,True,True,6648000.0,6867000.0
2020-04-04,2020-04-09,2020-04-16,True,True,6606000.0,6615000.0
2020-04-11,2020-04-16,2020-04-23,True,True,5245000.0,5237000.0
2020-04-18,2020-04-23,2020-04-30,True,True,4427000.0,4442000.0
2020-04-25,2020-04-30,2020-05-07,True,True,3839000.0,3846000.0
2020-05-02,2020-05-07,2020-05-14,True,True,3169000.0,3176000.0
2020-05-09,2020-05-14,2020-05-21,True,True,2981000.0,2687000.0
2020-05-16,2020-05-21,2020-05-28,True,True,2438000.0,2446000.0
2020-05-23,2020-05-28,2020-06-04,True,True,2123000.0,2126000.0
2020-05-30,2020-06-04,2020-06-11,True,True,1877000.0,1897000.0
2020-06-06,2020-06-11,2020-06-18,True,True,1542000.0,1566000.0
2020-06-13,2020-06-18,2020-06-25,True,True,1508000.0,1540000.0
2020-06-20,2020-06-25,2020-07-02,True,True,1480000.0,1482000.0
2020-06-27,2020-07-02,2020-07-09,True,True,1427000.0,1413000.0
2020-07-04,2020-07-09,2020-07-16,True,True,1314000.0,1310000.0
2020-07-11,2020-07-16,2020-07-23,True,True,1300000.0,1307000.0
2020-07-18,2020-07-23,2020-07-30,True,True,1416000.0,1422000.0
2020-07-25,2020-07-30,2020-08-06,True,True,1434000.0,1435000.0
2020-08-01,2020-08-06,2020-08-13,True,True,1186000.0,1191000.0
2020-08-08,2020-08-13,2020-08-20,True,True,963000.0,971000.0
2020-08-15,2020-08-20,2020-08-27,True,True,1106000.0,1104000.0
2020-08-22,2020-08-27,2020-09-03,True,True,1006000.0,1011000.0
2020-08-29,2020-09-03,2020-09-10,True,True,881000.0,884000.0
2020-09-05,2020-09-10,2020-09-17,True,True,884000.0,893000.0
2020-09-12,2020-09-17,2020-09-24,True,True,860000.0,866000.0
2020-09-19,2020-09-24,2020-10-01,True,True,870000.0,873000.0
2020-09-26,2020-10-01,2020-10-08,True,True,837000.0,849000.0
2020-10-03,2020-10-08,2020-10-15,True,True,840000.0,845000.0
2020-10-10,2020-10-15,2020-10-22,True,True,898000.0,842000.0
2020-10-17,2020-10-22,2020-10-29,True,True,787000.0,791000.0
2020-10-24,2020-10-29,2020-11-05,True,True,751000.0,758000.0
2020-10-31,2020-11-05,2020-11-12,True,True,751000.0,757000.0
2020-11-07,2020-11-12,2020-11-19,True,True,709000.0,711000.0
2020-11-14,2020-11-19,2020-11-26,True,True,742000.0,748000.0
2020-11-21,2020-11-26,2020-12-03,True,True,778000.0,787000.0
2020-11-28,2020-12-03,2020-12-10,True,True,712000.0,716000.0
2020-12-05,2020-12-10,2020-12-17,True,True,853000.0,862000.0
2020-12-12,2020-12-17,2020-12-24,True,True,885000.0,892000.0
2020-12-19,2020-12-24,2020-12-31,True,True,803000.0,806000.0
2020-12-26,2020-12-31,2021-01-07,True,True,787000.0,790000.0
2021-01-02,2021-01-07,2021-01-14,True,True,787000.0,784000.0
2021-01-09,2021-01-14,2021-01-21,True,True,965000.0,926000.0
2021-01-16,2021-01-21,2021-01-28,True,True,900000.0,914000.0
2021-01-23,2021-01-28,2021-02-04,True,True,847000.0,812000.0
2021-01-30,2021-02-04,2021-02-11,True,True,779000.0,812000.0
2021-02-06,2021-02-11,2021-02-18,True,True,793000.0,848000.0
2021-02-13,2021-02-18,2021-02-25,True,True,861000.0,841000.0
2021-02-20,2021-02-25,2021-03-04,True,True,730000.0,736000.0
2021-02-27,2021-03-04,2021-03-11,True,True,745000.0,754000.0
2021-03-06,2021-03-11,2021-03-18,True,True,712000.0,725000.0
2021-03-13,2021-03-18,2021-03-25,True,True,770000.0,781000.0
2021-03-20,2021-03-25,2021-04-01,True,True,684000.0,658000.0
2021-03-27,2021-04-01,2021-04-08,True,True,719000.0,728000.0
2021-04-03,2021-04-08,2021-04-15,True,True,744000.0,769000.0
2021-04-10,2021-04-15,2021-04-22,True,True,576000.0,586000.0
2021-04-17,2021-04-22,2021-04-29,True,True,547000.0,566000.0
2021-04-24,2021-04-29,2021-05-06,True,True,553000.0,590000.0
2021-05-01,2021-05-06,2021-05-13,True,True,498000.0,507000.0
2021-05-08,2021-05-13,2021-05-20,True,True,473000.0,478000.0
2021-05-15,2021-05-20,2021-05-27,True,True,444000.0,444000.0
2021-05-22,2021-05-27,2021-06-03,True,True,406000.0,405000.0
2021-05-29,2021-06-03,2021-06-10,True,True,385000.0,385000.0
2021-06-05,2021-06-10,2021-06-17,True,True,376000.0,375000.0
2021-06-12,2021-06-17,2021-06-24,True,True,412000.0,418000.0
2021-06-19,2021-06-24,2021-07-01,True,True,411000.0,415000.0
2021-06-26,2021-07-01,2021-07-08,True,True,364000.0,371000.0
2021-07-03,2021-07-08,2021-07-15,True,True,373000.0,386000.0
2021-07-10,2021-07-15,2021-07-22,True,True,360000.0,368000.0
2021-07-17,2021-07-22,2021-07-29,True,True,419000.0,424000.0
2021-07-24,2021-07-29,2021-08-05,True,True,400000.0,399000.0
2021-07-31,2021-08-05,2021-08-12,True,True,385000.0,387000.0
2021-08-07,2021-08-12,2021-08-19,True,True,375000.0,377000.0
2021-08-14,2021-08-19,2021-08-26,True,True,348000.0,349000.0
2021-08-21,2021-08-26,2021-09-02,True,True,353000.0,354000.0
2021-08-28,2021-09-02,2021-09-09,True,True,340000.0,345000.0
2021-09-04,2021-09-09,2021-09-16,True,True,310000.0,312000.0
2021-09-11,2021-09-16,2021-09-23,True,True,332000.0,335000.0
2021-09-18,2021-09-23,2021-09-30,True,True,351000.0,351000.0
2021-09-25,2021-09-30,2021-10-07,True,True,362000.0,364000.0
2021-10-02,2021-10-07,2021-10-14,True,True,326000.0,329000.0
2021-10-09,2021-10-14,2021-10-21,True,True,293000.0,296000.0
2021-10-16,2021-10-21,2021-10-28,True,True,290000.0,291000.0
2021-10-23,2021-10-28,2021-11-04,True,True,281000.0,283000.0
2021-10-30,2021-11-04,2021-11-11,True,True,269000.0,271000.0
2021-11-06,2021-11-11,2021-11-18,True,True,267000.0,269000.0
2021-11-13,2021-11-18,2021-11-25,True,True,268000.0,270000.0
2021-11-20,2021-11-25,2021-12-02,True,True,199000.0,194000.0
2021-11-27,2021-12-02,2021-12-09,True,True,222000.0,227000.0
2021-12-04,2021-12-09,2021-12-16,True,True,184000.0,188000.0
2021-12-11,2021-12-16,2021-12-23,True,True,206000.0,205000.0
2021-12-18,2021-12-23,2021-12-30,True,True,205000.0,206000.0
2021-12-25,2021-12-30,2022-01-06,True,True,198000.0,200000.0
2022-01-01,2022-01-06,2022-01-13,True,True,207000.0,207000.0
2022-01-08,2022-01-13,2022-01-20,True,True,230000.0,231000.0
2022-01-15,2022-01-20,2022-01-27,True,True,286000.0,290000.0
2022-01-22,2022-01-27,2022-02-03,True,True,260000.0,261000.0
2022-01-29,2022-02-03,2022-02-10,True,True,238000.0,239000.0
2022-02-05,2022-02-10,2022-02-17,True,True,223000.0,225000.0
2022-02-12,2022-02-17,2022-02-24,True,True,248000.0,249000.0
2022-02-19,2022-02-24,2022-03-03,True,True,232000.0,233000.0
2022-02-26,2022-03-03,2022-03-10,True,True,215000.0,216000.0
2022-03-05,2022-03-10,2022-03-17,True,True,227000.0,229000.0
2022-03-12,2022-03-17,2022-03-24,True,True,214000.0,215000.0
2022-03-19,2022-03-24,2022-03-31,True,True,187000.0,188000.0
2022-03-26,2022-03-31,2022-04-07,True,True,202000.0,171000.0
2022-04-02,2022-04-07,2022-04-14,True,True,166000.0,167000.0
2022-04-09,2022-04-14,2022-04-21,True,True,185000.0,186000.0
2022-04-16,2022-04-21,2022-04-28,True,True,184000.0,185000.0
2022-04-23,2022-04-28,2022-05-05,True,True,180000.0,181000.0
2022-04-30,2022-05-05,2022-05-12,True,True,200000.0,202000.0
2022-05-07,2022-05-12,2022-05-19,True,True,203000.0,197000.0
2022-05-14,2022-05-19,2022-05-26,True,True,218000.0,218000.0
2022-05-21,2022-05-26,2022-06-02,True,True,210000.0,211000.0
2022-05-28,2022-06-02,2022-06-09,True,True,200000.0,202000.0
2022-06-04,2022-06-09,2022-06-16,True,True,229000.0,232000.0
2022-06-11,2022-06-16,2022-06-23,True,True,229000.0,231000.0
2022-06-18,2022-06-23,2022-06-30,True,True,229000.0,233000.0
2022-06-25,2022-06-30,2022-07-07,True,True,231000.0,231000.0
2022-07-02,2022-07-07,2022-07-14,True,True,235000.0,235000.0
2022-07-09,2022-07-14,2022-07-21,True,True,244000.0,244000.0
2022-07-16,2022-07-21,2022-07-28,True,True,251000.0,261000.0
2022-07-23,2022-07-28,2022-08-04,True,True,256000.0,254000.0
2022-07-30,2022-08-04,2022-08-11,True,True,260000.0,248000.0
2022-08-06,2022-08-11,2022-08-18,True,True,262000.0,252000.0
2022-08-13,2022-08-18,2022-08-25,True,True,250000.0,245000.0
2022-08-20,2022-08-25,2022-09-01,True,True,243000.0,237000.0
2022-08-27,2022-09-01,2022-09-08,True,True,232000.0,228000.0
2022-09-03,2022-09-08,2022-09-15,True,True,222000.0,218000.0
2022-09-10,2022-09-15,2022-09-22,True,True,213000.0,208000.0
2022-09-17,2022-09-22,2022-09-29,True,True,213000.0,209000.0
2022-09-24,2022-09-29,2022-10-06,True,True,193000.0,190000.0
2022-10-01,2022-10-06,2022-10-13,True,True,219000.0,219000.0
2022-10-08,2022-10-13,2022-10-20,True,True,228000.0,226000.0
2022-10-15,2022-10-20,2022-10-27,True,True,214000.0,214000.0
2022-10-22,2022-10-27,2022-11-03,True,True,217000.0,218000.0
2022-10-29,2022-11-03,2022-11-10,True,True,217000.0,218000.0
2022-11-05,2022-11-10,2022-11-17,True,True,225000.0,226000.0
2022-11-12,2022-11-17,2022-11-24,True,True,222000.0,223000.0
2022-11-19,2022-11-24,2022-12-01,True,True,240000.0,241000.0
2022-11-26,2022-12-01,2022-12-08,True,True,225000.0,226000.0
2022-12-03,2022-12-08,2022-12-15,True,True,230000.0,231000.0
2022-12-10,2022-12-15,2022-12-22,True,True,211000.0,214000.0
2022-12-17,2022-12-22,2022-12-29,True,True,216000.0,216000.0
2022-12-24,2022-12-29,2023-01-05,True,True,225000.0,223000.0
2022-12-31,2023-01-05,2023-01-12,True,True,204000.0,206000.0
2023-01-07,2023-01-12,2023-01-19,True,True,205000.0,205000.0
2023-01-14,2023-01-19,2023-01-26,True,True,190000.0,192000.0
2023-01-21,2023-01-26,2023-02-02,True,True,186000.0,186000.0
2023-01-28,2023-02-02,2023-02-09,True,True,183000.0,183000.0
2023-02-04,2023-02-09,2023-02-16,True,True,196000.0,195000.0
2023-02-11,2023-02-16,2023-02-23,True,True,194000.0,195000.0
2023-02-18,2023-02-23,2023-03-02,True,True,192000.0,192000.0
2023-02-25,2023-03-02,2023-03-09,True,True,190000.0,190000.0
2023-03-04,2023-03-09,2023-03-16,True,True,211000.0,212000.0
2023-03-11,2023-03-16,2023-03-23,True,True,192000.0,192000.0
2023-03-18,2023-03-23,2023-03-30,True,True,191000.0,191000.0
2023-03-25,2023-03-30,2023-04-06,True,True,198000.0,246000.0
2023-04-01,2023-04-06,2023-04-13,True,True,228000.0,228000.0
2023-04-08,2023-04-13,2023-04-20,True,True,239000.0,240000.0
2023-04-15,2023-04-20,2023-04-27,True,True,245000.0,246000.0
2023-04-22,2023-04-27,2023-05-04,True,True,230000.0,229000.0
2023-04-29,2023-05-04,2023-05-11,True,True,242000.0,242000.0
2023-05-06,2023-05-11,2023-05-18,True,True,264000.0,264000.0
2023-05-13,2023-05-18,2023-05-25,True,True,242000.0,225000.0
2023-05-20,2023-05-25,2023-06-01,True,True,229000.0,230000.0
2023-05-27,2023-06-01,2023-06-08,True,True,232000.0,233000.0
2023-06-03,2023-06-08,2023-06-15,True,True,261000.0,262000.0
2023-06-10,2023-06-15,2023-06-22,True,True,262000.0,264000.0
2023-06-17,2023-06-22,2023-06-29,True,True,264000.0,265000.0
2023-06-24,2023-06-29,2023-07-06,True,True,239000.0,236000.0
2023-07-01,2023-07-06,2023-07-13,True,True,248000.0,249000.0
2023-07-08,2023-07-13,2023-07-20,True,True,237000.0,237000.0
2023-07-15,2023-07-20,2023-07-27,True,True,228000.0,228000.0
2023-07-22,2023-07-27,2023-08-03,True,True,221000.0,221000.0
2023-07-29,2023-08-03,2023-08-10,True,True,227000.0,227000.0
2023-08-05,2023-08-10,2023-08-17,True,True,248000.0,250000.0
2023-08-12,2023-08-17,2023-08-24,True,True,239000.0,240000.0
2023-08-19,2023-08-24,2023-08-31,True,True,230000.0,232000.0
2023-08-26,2023-08-31,2023-09-07,True,True,228000.0,229000.0
2023-09-02,2023-09-07,2023-09-14,True,True,216000.0,217000.0
2023-09-09,2023-09-14,2023-09-21,True,True,220000.0,221000.0
2023-09-16,2023-09-21,2023-09-28,True,True,201000.0,202000.0
2023-09-23,2023-09-28,2023-10-05,True,True,204000.0,205000.0
2023-09-30,2023-10-05,2023-10-12,True,True,207000.0,209000.0
2023-10-07,2023-10-12,2023-10-19,True,True,209000.0,211000.0
2023-10-14,2023-10-19,2023-10-26,True,True,198000.0,200000.0
2023-10-21,2023-10-26,2023-11-02,True,True,210000.0,212000.0
2023-10-28,2023-11-02,2023-11-09,True,True,217000.0,220000.0
2023-11-04,2023-11-09,2023-11-16,True,True,217000.0,218000.0
2023-11-11,2023-11-16,2023-11-23,True,True,231000.0,233000.0
2023-11-18,2023-11-23,2023-11-30,True,True,209000.0,211000.0
2023-11-25,2023-11-30,2023-12-07,True,True,218000.0,219000.0
2023-12-02,2023-12-07,2023-12-14,True,True,220000.0,221000.0
2023-12-09,2023-12-14,2023-12-21,True,True,202000.0,203000.0
2023-12-16,2023-12-21,2023-12-28,True,True,205000.0,206000.0
2023-12-23,2023-12-28,2024-01-04,True,True,218000.0,220000.0
2023-12-30,2024-01-04,2024-01-11,True,True,202000.0,203000.0
2024-01-06,2024-01-11,2024-01-18,True,True,202000.0,203000.0
2024-01-13,2024-01-18,2024-01-25,True,True,187000.0,189000.0
2024-01-20,2024-01-25,2024-02-01,True,True,214000.0,215000.0
2024-01-27,2024-02-01,2024-02-08,True,True,224000.0,227000.0
2024-02-03,2024-02-08,2024-02-15,True,True,218000.0,220000.0
2024-02-10,2024-02-15,2024-02-22,True,True,212000.0,213000.0
2024-02-17,2024-02-22,2024-02-29,True,True,201000.0,202000.0
2024-02-24,2024-02-29,2024-03-07,True,True,215000.0,217000.0
2024-03-02,2024-03-07,2024-03-14,True,True,217000.0,210000.0
2024-03-09,2024-03-14,2024-03-21,True,True,209000.0,212000.0
2024-03-16,2024-03-21,2024-03-28,True,True,210000.0,212000.0
2024-03-23,2024-03-28,2024-04-04,True,True,210000.0,212000.0
2024-03-30,2024-04-04,2024-04-11,True,True,221000.0,222000.0
2024-04-06,2024-04-11,2024-04-18,True,True,211000.0,212000.0
2024-04-13,2024-04-18,2024-04-25,True,True,212000.0,212000.0
2024-04-20,2024-04-25,2024-05-02,True,True,207000.0,208000.0
2024-04-27,2024-05-02,2024-05-09,True,True,208000.0,209000.0
2024-05-04,2024-05-09,2024-05-16,True,True,231000.0,232000.0
2024-05-11,2024-05-16,2024-05-23,True,True,222000.0,223000.0
2024-05-18,2024-05-23,2024-05-30,True,True,215000.0,216000.0
2024-05-25,2024-05-30,2024-06-06,True,True,219000.0,221000.0
2024-06-01,2024-06-06,2024-06-13,True,True,229000.0,229000.0
2024-06-08,2024-06-13,2024-06-20,True,True,242000.0,243000.0
2024-06-15,2024-06-20,2024-06-27,True,True,238000.0,239000.0
2024-06-22,2024-06-27,2024-07-04,True,True,233000.0,234000.0
2024-06-29,2024-07-04,2024-07-11,True,True,238000.0,239000.0
2024-07-06,2024-07-11,2024-07-18,True,True,222000.0,223000.0
2024-07-13,2024-07-18,2024-07-25,True,True,243000.0,245000.0
2024-07-20,2024-07-25,2024-08-01,True,True,235000.0,235000.0
2024-07-27,2024-08-01,2024-08-08,True,True,249000.0,250000.0
2024-08-03,2024-08-08,2024-08-15,True,True,233000.0,234000.0
2024-08-10,2024-08-15,2024-08-22,True,True,227000.0,228000.0
2024-08-17,2024-08-22,2024-08-29,True,True,232000.0,233000.0
2024-08-24,2024-08-29,2024-09-05,True,True,231000.0,232000.0
2024-08-31,2024-09-05,2024-09-12,True,True,227000.0,228000.0
2024-09-07,2024-09-12,2024-09-19,True,True,230000.0,231000.0
2024-09-14,2024-09-19,2024-09-26,True,True,219000.0,222000.0
2024-09-21,2024-09-26,2024-10-03,True,True,218000.0,219000.0
2024-09-28,2024-10-03,2024-10-10,True,True,225000.0,225000.0
2024-10-05,2024-10-10,2024-10-17,True,True,258000.0,260000.0
2024-10-12,2024-10-17,2024-10-24,True,True,241000.0,242000.0
2024-10-19,2024-10-24,2024-10-31,True,True,227000.0,228000.0
2024-10-26,2024-10-31,2024-11-07,True,True,216000.0,218000.0
2024-11-02,2024-11-07,2024-11-14,True,True,221000.0,221000.0
2024-11-09,2024-11-14,2024-11-21,True,True,217000.0,219000.0
2024-11-16,2024-11-21,2024-11-28,True,True,213000.0,215000.0
2024-11-23,2024-11-28,2024-12-05,True,True,213000.0,215000.0
2024-11-30,2024-12-05,2024-12-12,True,True,224000.0,225000.0
2024-12-07,2024-12-12,2024-12-19,True,True,242000.0,242000.0
2024-12-14,2024-12-19,2024-12-26,True,True,220000.0,220000.0
