sleeve,signal_position,entry_position,exit_position,signal_date,entry_date,exit_date,side,entry_price,exit_price,exit_kind,barrier,hold_bars,unit_leverage,gross_return,funding_factor,net_return,source
fresh_kimchi_fx,28980,28981,29220,2026-06-03 04:25:00,2026-06-03 04:30:00,2026-06-04 00:25:00,SHORT,66551.2,63889.151999999995,barrier,"{'take_bps': 400.0, 'stop_bps': 250.0}",288,0.5,0.04,1.000089672337129,0.019479502712633545,
fresh_kimchi_fx,29304,29305,29579,2026-06-04 07:25:00,2026-06-04 07:30:00,2026-06-05 06:20:00,SHORT,63664.1,61117.53599999999,barrier,"{'take_bps': 400.0, 'stop_bps': 250.0}",288,0.5,0.04,1.0000087849736312,0.019397047097506448,
fresh_kimchi_fx,29580,29581,29614,2026-06-05 06:25:00,2026-06-05 06:30:00,2026-06-05 09:15:00,SHORT,61642.4,63183.46,barrier,"{'take_bps': 400.0, 'stop_bps': 250.0}",288,0.5,-0.025,0.999992845,-0.013099472448798388,
fresh_kimchi_fx,29658,29659,29729,2026-06-05 12:55:00,2026-06-05 13:00:00,2026-06-05 18:50:00,SHORT,61939.7,59462.111999999994,barrier,"{'take_bps': 400.0, 'stop_bps': 250.0}",288,0.5,0.04,0.999995685,0.01938369314038413,
fresh_kimchi_fx,29730,29731,29744,2026-06-05 18:55:00,2026-06-05 19:00:00,2026-06-05 20:05:00,SHORT,59362.1,60846.1525,barrier,"{'take_bps': 400.0, 'stop_bps': 250.0}",288,0.5,-0.025,1.0,-0.013092411124999925,
fresh_kimchi_fx,29748,29749,30037,2026-06-05 20:25:00,2026-06-05 20:30:00,2026-06-06 20:30:00,SHORT,60922.6,60566.8,open,"{'take_bps': 400.0, 'stop_bps': 250.0}",288,0.5,0.005840197233867195,1.0000046498990676,0.002323097500136928,
cand_rex_veto_7,30186,30187,30331,2026-06-07 08:55:00,2026-06-07 09:00:00,2026-06-07 21:00:00,SHORT,62823.0,61843.1,open,,144,0.5,,,0.007152924665845717,
cand_rex_veto_7,30378,30379,30523,2026-06-08 00:55:00,2026-06-08 01:00:00,2026-06-08 13:00:00,SHORT,63599.3,63844.6,open,,144,0.5,,,-0.002714390515935583,
cand_rex_veto_7,30546,30547,30691,2026-06-08 14:55:00,2026-06-08 15:00:00,2026-06-09 03:00:00,SHORT,63933.7,62839.9,open,,144,0.5,,,0.007955317149320518,
frozen_annual_rank7,31123,31124,31700,2026-06-10 15:00:00,2026-06-10 15:05:00,2026-06-12 15:05:00,LONG,62146.1,63889.9,open,"{'take_bps': 400.0, 'stop_bps': None}",576,0.5,0.02805968516125712,0.9999593254689593,0.013380295492858796,funding
cand_rex_veto_7,31290,31291,31435,2026-06-11 04:55:00,2026-06-11 05:00:00,2026-06-11 17:00:00,SHORT,62692.8,62546.6,open,,144,0.5,,,0.0004847492433568412,
