origin_position,signal_position,entry_position,exit_position,origin_date,signal_date,entry_date,exit_date,side,branch,delay_bars,hold_bars
2370,2370,2372,2516,2020-01-09 05:30:00,2020-01-09 05:30:00,2020-01-09 05:40:00,2020-01-09 17:40:00,-1,afcs_144,2,144
4722,4722,4724,4868,2020-01-17 09:30:00,2020-01-17 09:30:00,2020-01-17 09:40:00,2020-01-17 21:40:00,-1,afcs_144,2,144
5225,5225,5227,5371,2020-01-19 03:25:00,2020-01-19 03:25:00,2020-01-19 03:35:00,2020-01-19 15:35:00,1,afcs_144,2,144
5857,5857,5859,6003,2020-01-21 08:05:00,2020-01-21 08:05:00,2020-01-21 08:15:00,2020-01-21 20:15:00,-1,afcs_144,2,144
6170,6170,6172,6316,2020-01-22 10:10:00,2020-01-22 10:10:00,2020-01-22 10:20:00,2020-01-22 22:20:00,-1,afcs_144,2,144
6453,6453,6455,6599,2020-01-23 09:45:00,2020-01-23 09:45:00,2020-01-23 09:55:00,2020-01-23 21:55:00,-1,afcs_144,2,144
6754,6754,6756,6900,2020-01-24 10:50:00,2020-01-24 10:50:00,2020-01-24 11:00:00,2020-01-24 23:00:00,-1,afcs_144,2,144
7983,7983,7985,8129,2020-01-28 17:15:00,2020-01-28 17:15:00,2020-01-28 17:25:00,2020-01-29 05:25:00,-1,afcs_144,2,144
8420,8420,8422,8566,2020-01-30 05:40:00,2020-01-30 05:40:00,2020-01-30 05:50:00,2020-01-30 17:50:00,-1,afcs_144,2,144
9385,9385,9387,9531,2020-02-02 14:05:00,2020-02-02 14:05:00,2020-02-02 14:15:00,2020-02-03 02:15:00,-1,afcs_144,2,144
9972,9972,9974,10118,2020-02-04 15:00:00,2020-02-04 15:00:00,2020-02-04 15:10:00,2020-02-05 03:10:00,1,afcs_144,2,144
10296,10296,10298,10442,2020-02-05 18:00:00,2020-02-05 18:00:00,2020-02-05 18:10:00,2020-02-06 06:10:00,1,afcs_144,2,144
11107,11107,11109,11253,2020-02-08 13:35:00,2020-02-08 13:35:00,2020-02-08 13:45:00,2020-02-09 01:45:00,1,afcs_144,2,144
11823,11823,11825,11969,2020-02-11 01:15:00,2020-02-11 01:15:00,2020-02-11 01:25:00,2020-02-11 13:25:00,-1,afcs_144,2,144
15308,15308,15310,15454,2020-02-23 03:40:00,2020-02-23 03:40:00,2020-02-23 03:50:00,2020-02-23 15:50:00,1,afcs_144,2,144
15928,15928,15930,16074,2020-02-25 07:20:00,2020-02-25 07:20:00,2020-02-25 07:30:00,2020-02-25 19:30:00,-1,afcs_144,2,144
17725,17725,17727,17871,2020-03-02 13:05:00,2020-03-02 13:05:00,2020-03-02 13:15:00,2020-03-03 01:15:00,1,afcs_144,2,144
17939,17939,17941,18085,2020-03-03 06:55:00,2020-03-03 06:55:00,2020-03-03 07:05:00,2020-03-03 19:05:00,-1,afcs_144,2,144
18434,18434,18436,18580,2020-03-05 00:10:00,2020-03-05 00:10:00,2020-03-05 00:20:00,2020-03-05 12:20:00,1,afcs_144,2,144
18668,18668,18670,18814,2020-03-05 19:40:00,2020-03-05 19:40:00,2020-03-05 19:50:00,2020-03-06 07:50:00,1,afcs_144,2,144
18909,18909,18911,19055,2020-03-06 15:45:00,2020-03-06 15:45:00,2020-03-06 15:55:00,2020-03-07 03:55:00,-1,afcs_144,2,144
19418,19418,19420,19564,2020-03-08 10:10:00,2020-03-08 10:10:00,2020-03-08 10:20:00,2020-03-08 22:20:00,-1,afcs_144,2,144
25812,25812,25814,25958,2020-03-30 15:00:00,2020-03-30 15:00:00,2020-03-30 15:10:00,2020-03-31 03:10:00,1,afcs_144,2,144
26053,26053,26055,26199,2020-03-31 11:05:00,2020-03-31 11:05:00,2020-03-31 11:15:00,2020-03-31 23:15:00,-1,afcs_144,2,144
26426,26426,26428,26572,2020-04-01 18:10:00,2020-04-01 18:10:00,2020-04-01 18:20:00,2020-04-02 06:20:00,1,afcs_144,2,144
26712,26712,26714,26858,2020-04-02 18:00:00,2020-04-02 18:00:00,2020-04-02 18:10:00,2020-04-03 06:10:00,-1,afcs_144,2,144
27303,27303,27305,27449,2020-04-04 19:15:00,2020-04-04 19:15:00,2020-04-04 19:25:00,2020-04-05 07:25:00,-1,afcs_144,2,144
27723,27723,27725,27869,2020-04-06 06:15:00,2020-04-06 06:15:00,2020-04-06 06:25:00,2020-04-06 18:25:00,1,afcs_144,2,144
27988,27988,27990,28134,2020-04-07 04:20:00,2020-04-07 04:20:00,2020-04-07 04:30:00,2020-04-07 16:30:00,-1,afcs_144,2,144
28352,28352,28354,28498,2020-04-08 10:40:00,2020-04-08 10:40:00,2020-04-08 10:50:00,2020-04-08 22:50:00,-1,afcs_144,2,144
28554,28554,28556,28700,2020-04-09 03:30:00,2020-04-09 03:30:00,2020-04-09 03:40:00,2020-04-09 15:40:00,-1,afcs_144,2,144
29022,29022,29024,29168,2020-04-10 18:30:00,2020-04-10 18:30:00,2020-04-10 18:40:00,2020-04-11 06:40:00,1,afcs_144,2,144
29303,29303,29305,29449,2020-04-11 17:55:00,2020-04-11 17:55:00,2020-04-11 18:05:00,2020-04-12 06:05:00,-1,afcs_144,2,144
29514,29514,29516,29660,2020-04-12 11:30:00,2020-04-12 11:30:00,2020-04-12 11:40:00,2020-04-12 23:40:00,1,afcs_144,2,144
29669,29669,29671,29815,2020-04-13 00:25:00,2020-04-13 00:25:00,2020-04-13 00:35:00,2020-04-13 12:35:00,-1,afcs_144,2,144
