signal_position,entry_position,exit_position,signal_date,entry_date,exit_date,side,hold_bars
2143,2144,2168,2020-01-08 10:35:00,2020-01-08 10:40:00,2020-01-08 12:40:00,-1,24
2234,2235,2259,2020-01-08 18:10:00,2020-01-08 18:15:00,2020-01-08 20:15:00,-1,24
2284,2285,2309,2020-01-08 22:20:00,2020-01-08 22:25:00,2020-01-09 00:25:00,1,24
2328,2329,2353,2020-01-09 02:00:00,2020-01-09 02:05:00,2020-01-09 04:05:00,-1,24
2395,2396,2420,2020-01-09 07:35:00,2020-01-09 07:40:00,2020-01-09 09:40:00,1,24
2470,2471,2495,2020-01-09 13:50:00,2020-01-09 13:55:00,2020-01-09 15:55:00,-1,24
2534,2535,2559,2020-01-09 19:10:00,2020-01-09 19:15:00,2020-01-09 21:15:00,1,24
2561,2562,2586,2020-01-09 21:25:00,2020-01-09 21:30:00,2020-01-09 23:30:00,1,24
2585,2586,2610,2020-01-09 23:25:00,2020-01-09 23:30:00,2020-01-10 01:30:00,1,24
2611,2612,2636,2020-01-10 01:35:00,2020-01-10 01:40:00,2020-01-10 03:40:00,1,24
2673,2674,2698,2020-01-10 06:45:00,2020-01-10 06:50:00,2020-01-10 08:50:00,-1,24
2744,2745,2769,2020-01-10 12:40:00,2020-01-10 12:45:00,2020-01-10 14:45:00,1,24
2806,2807,2831,2020-01-10 17:50:00,2020-01-10 17:55:00,2020-01-10 19:55:00,1,24
2861,2862,2886,2020-01-10 22:25:00,2020-01-10 22:30:00,2020-01-11 00:30:00,-1,24
2906,2907,2931,2020-01-11 02:10:00,2020-01-11 02:15:00,2020-01-11 04:15:00,-1,24
2930,2931,2955,2020-01-11 04:10:00,2020-01-11 04:15:00,2020-01-11 06:15:00,-1,24
2962,2963,2987,2020-01-11 06:50:00,2020-01-11 06:55:00,2020-01-11 08:55:00,-1,24
2992,2993,3017,2020-01-11 09:20:00,2020-01-11 09:25:00,2020-01-11 11:25:00,-1,24
3042,3043,3067,2020-01-11 13:30:00,2020-01-11 13:35:00,2020-01-11 15:35:00,-1,24
3091,3092,3116,2020-01-11 17:35:00,2020-01-11 17:40:00,2020-01-11 19:40:00,-1,24
3123,3124,3148,2020-01-11 20:15:00,2020-01-11 20:20:00,2020-01-11 22:20:00,-1,24
3166,3167,3191,2020-01-11 23:50:00,2020-01-11 23:55:00,2020-01-12 01:55:00,-1,24
3191,3192,3216,2020-01-12 01:55:00,2020-01-12 02:00:00,2020-01-12 04:00:00,1,24
3231,3232,3256,2020-01-12 05:15:00,2020-01-12 05:20:00,2020-01-12 07:20:00,1,24
3257,3258,3282,2020-01-12 07:25:00,2020-01-12 07:30:00,2020-01-12 09:30:00,-1,24
3295,3296,3320,2020-01-12 10:35:00,2020-01-12 10:40:00,2020-01-12 12:40:00,1,24
3365,3366,3390,2020-01-12 16:25:00,2020-01-12 16:30:00,2020-01-12 18:30:00,-1,24
3397,3398,3422,2020-01-12 19:05:00,2020-01-12 19:10:00,2020-01-12 21:10:00,-1,24
3421,3422,3446,2020-01-12 21:05:00,2020-01-12 21:10:00,2020-01-12 23:10:00,-1,24
3469,3470,3494,2020-01-13 01:05:00,2020-01-13 01:10:00,2020-01-13 03:10:00,-1,24
3493,3494,3518,2020-01-13 03:05:00,2020-01-13 03:10:00,2020-01-13 05:10:00,1,24
3521,3522,3546,2020-01-13 05:25:00,2020-01-13 05:30:00,2020-01-13 07:30:00,-1,24
3550,3551,3575,2020-01-13 07:50:00,2020-01-13 07:55:00,2020-01-13 09:55:00,-1,24
3577,3578,3602,2020-01-13 10:05:00,2020-01-13 10:10:00,2020-01-13 12:10:00,1,24
3637,3638,3662,2020-01-13 15:05:00,2020-01-13 15:10:00,2020-01-13 17:10:00,1,24
3682,3683,3707,2020-01-13 18:50:00,2020-01-13 18:55:00,2020-01-13 20:55:00,1,24
3712,3713,3737,2020-01-13 21:20:00,2020-01-13 21:25:00,2020-01-13 23:25:00,-1,24
3736,3737,3761,2020-01-13 23:20:00,2020-01-13 23:25:00,2020-01-14 01:25:00,1,24
3799,3800,3824,2020-01-14 04:35:00,2020-01-14 04:40:00,2020-01-14 06:40:00,1,24
3832,3833,3857,2020-01-14 07:20:00,2020-01-14 07:25:00,2020-01-14 09:25:00,-1,24
3867,3868,3892,2020-01-14 10:15:00,2020-01-14 10:20:00,2020-01-14 12:20:00,1,24
3933,3934,3958,2020-01-14 15:45:00,2020-01-14 15:50:00,2020-01-14 17:50:00,-1,24
3963,3964,3988,2020-01-14 18:15:00,2020-01-14 18:20:00,2020-01-14 20:20:00,-1,24
3990,3991,4015,2020-01-14 20:30:00,2020-01-14 20:35:00,2020-01-14 22:35:00,1,24
4088,4089,4113,2020-01-15 04:40:00,2020-01-15 04:45:00,2020-01-15 06:45:00,1,24
4114,4115,4139,2020-01-15 06:50:00,2020-01-15 06:55:00,2020-01-15 08:55:00,1,24
4141,4142,4166,2020-01-15 09:05:00,2020-01-15 09:10:00,2020-01-15 11:10:00,-1,24
4169,4170,4194,2020-01-15 11:25:00,2020-01-15 11:30:00,2020-01-15 13:30:00,-1,24
4229,4230,4254,2020-01-15 16:25:00,2020-01-15 16:30:00,2020-01-15 18:30:00,1,24
4262,4263,4287,2020-01-15 19:10:00,2020-01-15 19:15:00,2020-01-15 21:15:00,-1,24
4303,4304,4328,2020-01-15 22:35:00,2020-01-15 22:40:00,2020-01-16 00:40:00,-1,24
4356,4357,4381,2020-01-16 03:00:00,2020-01-16 03:05:00,2020-01-16 05:05:00,-1,24
4380,4381,4405,2020-01-16 05:00:00,2020-01-16 05:05:00,2020-01-16 07:05:00,-1,24
4467,4468,4492,2020-01-16 12:15:00,2020-01-16 12:20:00,2020-01-16 14:20:00,1,24
4506,4507,4531,2020-01-16 15:30:00,2020-01-16 15:35:00,2020-01-16 17:35:00,-1,24
4550,4551,4575,2020-01-16 19:10:00,2020-01-16 19:15:00,2020-01-16 21:15:00,-1,24
4585,4586,4610,2020-01-16 22:05:00,2020-01-16 22:10:00,2020-01-17 00:10:00,1,24
