signal_position,entry_position,exit_position,signal_date,entry_date,exit_date,side,branch,hold_bars
2047,2048,2060,2020-01-08 02:35:00,2020-01-08 02:40:00,2020-01-08 03:40:00,-1,catch12,12
2738,2739,2751,2020-01-10 12:10:00,2020-01-10 12:15:00,2020-01-10 13:15:00,-1,catch12,12
2836,2837,2849,2020-01-10 20:20:00,2020-01-10 20:25:00,2020-01-10 21:25:00,1,catch12,12
2959,2960,2972,2020-01-11 06:35:00,2020-01-11 06:40:00,2020-01-11 07:40:00,-1,catch12,12
3100,3101,3113,2020-01-11 18:20:00,2020-01-11 18:25:00,2020-01-11 19:25:00,1,catch12,12
3339,3340,3352,2020-01-12 14:15:00,2020-01-12 14:20:00,2020-01-12 15:20:00,1,catch12,12
3380,3381,3393,2020-01-12 17:40:00,2020-01-12 17:45:00,2020-01-12 18:45:00,1,catch12,12
3434,3435,3447,2020-01-12 22:10:00,2020-01-12 22:15:00,2020-01-12 23:15:00,1,catch12,12
3518,3519,3531,2020-01-13 05:10:00,2020-01-13 05:15:00,2020-01-13 06:15:00,1,catch12,12
3640,3641,3653,2020-01-13 15:20:00,2020-01-13 15:25:00,2020-01-13 16:25:00,-1,catch12,12
4002,4003,4015,2020-01-14 21:30:00,2020-01-14 21:35:00,2020-01-14 22:35:00,-1,catch12,12
4177,4178,4190,2020-01-15 12:05:00,2020-01-15 12:10:00,2020-01-15 13:10:00,1,catch12,12
4217,4218,4230,2020-01-15 15:25:00,2020-01-15 15:30:00,2020-01-15 16:30:00,1,catch12,12
4262,4263,4275,2020-01-15 19:10:00,2020-01-15 19:15:00,2020-01-15 20:15:00,1,catch12,12
4284,4285,4297,2020-01-15 21:00:00,2020-01-15 21:05:00,2020-01-15 22:05:00,1,catch12,12
4307,4308,4320,2020-01-15 22:55:00,2020-01-15 23:00:00,2020-01-16 00:00:00,1,catch12,12
4457,4458,4470,2020-01-16 11:25:00,2020-01-16 11:30:00,2020-01-16 12:30:00,1,catch12,12
4530,4531,4543,2020-01-16 17:30:00,2020-01-16 17:35:00,2020-01-16 18:35:00,1,catch12,12
4580,4581,4593,2020-01-16 21:40:00,2020-01-16 21:45:00,2020-01-16 22:45:00,1,catch12,12
4875,4876,4888,2020-01-17 22:15:00,2020-01-17 22:20:00,2020-01-17 23:20:00,1,catch12,12
4891,4892,4904,2020-01-17 23:35:00,2020-01-17 23:40:00,2020-01-18 00:40:00,1,catch12,12
4926,4927,4939,2020-01-18 02:30:00,2020-01-18 02:35:00,2020-01-18 03:35:00,-1,catch12,12
5217,5218,5230,2020-01-19 02:45:00,2020-01-19 02:50:00,2020-01-19 03:50:00,-1,catch12,12
5267,5268,5280,2020-01-19 06:55:00,2020-01-19 07:00:00,2020-01-19 08:00:00,1,catch12,12
5375,5376,5388,2020-01-19 15:55:00,2020-01-19 16:00:00,2020-01-19 17:00:00,-1,catch12,12
5534,5535,5547,2020-01-20 05:10:00,2020-01-20 05:15:00,2020-01-20 06:15:00,1,catch12,12
5599,5600,5612,2020-01-20 10:35:00,2020-01-20 10:40:00,2020-01-20 11:40:00,1,catch12,12
5844,5845,5857,2020-01-21 07:00:00,2020-01-21 07:05:00,2020-01-21 08:05:00,1,catch12,12
5922,5923,5935,2020-01-21 13:30:00,2020-01-21 13:35:00,2020-01-21 14:35:00,1,catch12,12
6042,6043,6055,2020-01-21 23:30:00,2020-01-21 23:35:00,2020-01-22 00:35:00,-1,catch12,12
6078,6079,6091,2020-01-22 02:30:00,2020-01-22 02:35:00,2020-01-22 03:35:00,-1,catch12,12
6175,6176,6188,2020-01-22 10:35:00,2020-01-22 10:40:00,2020-01-22 11:40:00,1,catch12,12
6262,6263,6275,2020-01-22 17:50:00,2020-01-22 17:55:00,2020-01-22 18:55:00,1,catch12,12
6293,6294,6306,2020-01-22 20:25:00,2020-01-22 20:30:00,2020-01-22 21:30:00,1,catch12,12
