signal_position,entry_position,exit_position,signal_date,entry_date,exit_date,side,branch,hold_bars
17275,17276,17300,2020-02-29 23:35:00,2020-02-29 23:40:00,2020-03-01 01:40:00,-1,clasp24,24
17729,17730,17754,2020-03-02 13:25:00,2020-03-02 13:30:00,2020-03-02 15:30:00,-1,clasp24,24
17845,17846,17870,2020-03-02 23:05:00,2020-03-02 23:10:00,2020-03-03 01:10:00,1,clasp24,24
21362,21363,21387,2020-03-15 04:10:00,2020-03-15 04:15:00,2020-03-15 06:15:00,1,clasp24,24
21481,21482,21506,2020-03-15 14:05:00,2020-03-15 14:10:00,2020-03-15 16:10:00,-1,clasp24,24
21518,21519,21543,2020-03-15 17:10:00,2020-03-15 17:15:00,2020-03-15 19:15:00,1,clasp24,24
22541,22542,22566,2020-03-19 06:25:00,2020-03-19 06:30:00,2020-03-19 08:30:00,1,clasp24,24
23214,23215,23239,2020-03-21 14:30:00,2020-03-21 14:35:00,2020-03-21 16:35:00,-1,clasp24,24
23774,23775,23799,2020-03-23 13:10:00,2020-03-23 13:15:00,2020-03-23 15:15:00,-1,clasp24,24
23916,23917,23941,2020-03-24 01:00:00,2020-03-24 01:05:00,2020-03-24 03:05:00,1,clasp24,24
24729,24730,24754,2020-03-26 20:45:00,2020-03-26 20:50:00,2020-03-26 22:50:00,1,clasp24,24
24817,24818,24842,2020-03-27 04:05:00,2020-03-27 04:10:00,2020-03-27 06:10:00,-1,clasp24,24
25069,25070,25094,2020-03-28 01:05:00,2020-03-28 01:10:00,2020-03-28 03:10:00,-1,clasp24,24
26272,26273,26297,2020-04-01 05:20:00,2020-04-01 05:25:00,2020-04-01 07:25:00,1,clasp24,24
26303,26304,26328,2020-04-01 07:55:00,2020-04-01 08:00:00,2020-04-01 10:00:00,1,clasp24,24
27047,27048,27072,2020-04-03 21:55:00,2020-04-03 22:00:00,2020-04-04 00:00:00,1,clasp24,24
27224,27225,27249,2020-04-04 12:40:00,2020-04-04 12:45:00,2020-04-04 14:45:00,-1,clasp24,24
30224,30225,30249,2020-04-14 22:40:00,2020-04-14 22:45:00,2020-04-15 00:45:00,-1,clasp24,24
31613,31614,31638,2020-04-19 18:25:00,2020-04-19 18:30:00,2020-04-19 20:30:00,1,clasp24,24
33726,33727,33751,2020-04-27 02:30:00,2020-04-27 02:35:00,2020-04-27 04:35:00,1,clasp24,24
34847,34848,34872,2020-04-30 23:55:00,2020-05-01 00:00:00,2020-05-01 02:00:00,1,clasp24,24
36098,36099,36123,2020-05-05 08:10:00,2020-05-05 08:15:00,2020-05-05 10:15:00,-1,clasp24,24
37140,37141,37165,2020-05-08 23:00:00,2020-05-08 23:05:00,2020-05-09 01:05:00,1,clasp24,24
39574,39575,39599,2020-05-17 09:50:00,2020-05-17 09:55:00,2020-05-17 11:55:00,-1,clasp24,24
44159,44160,44184,2020-06-02 07:55:00,2020-06-02 08:00:00,2020-06-02 10:00:00,-1,clasp24,24
44287,44288,44312,2020-06-02 18:35:00,2020-06-02 18:40:00,2020-06-02 20:40:00,1,clasp24,24
45281,45282,45306,2020-06-06 05:25:00,2020-06-06 05:30:00,2020-06-06 07:30:00,1,clasp24,24
45511,45512,45536,2020-06-07 00:35:00,2020-06-07 00:40:00,2020-06-07 02:40:00,-1,clasp24,24
