signal_position,entry_position,exit_position,signal_date,entry_date,exit_date,side,branch,hold_bars
3094,3095,3107,2020-01-11 17:50:00,2020-01-11 17:55:00,2020-01-11 18:55:00,-1,cash_sponsored_rejection,12
5288,5289,5301,2020-01-19 08:40:00,2020-01-19 08:45:00,2020-01-19 09:45:00,-1,cash_sponsored_rejection,12
5963,5964,5976,2020-01-21 16:55:00,2020-01-21 17:00:00,2020-01-21 18:00:00,1,cash_sponsored_rejection,12
7366,7367,7379,2020-01-26 13:50:00,2020-01-26 13:55:00,2020-01-26 14:55:00,-1,cash_sponsored_rejection,12
8274,8275,8287,2020-01-29 17:30:00,2020-01-29 17:35:00,2020-01-29 18:35:00,-1,cash_sponsored_rejection,12
9305,9306,9318,2020-02-02 07:25:00,2020-02-02 07:30:00,2020-02-02 08:30:00,-1,cash_sponsored_rejection,12
10230,10231,10243,2020-02-05 12:30:00,2020-02-05 12:35:00,2020-02-05 13:35:00,1,cash_sponsored_rejection,12
10453,10454,10466,2020-02-06 07:05:00,2020-02-06 07:10:00,2020-02-06 08:10:00,-1,cash_sponsored_rejection,12
10571,10572,10584,2020-02-06 16:55:00,2020-02-06 17:00:00,2020-02-06 18:00:00,1,cash_sponsored_rejection,12
10712,10713,10725,2020-02-07 04:40:00,2020-02-07 04:45:00,2020-02-07 05:45:00,1,cash_sponsored_rejection,12
13242,13243,13255,2020-02-15 23:30:00,2020-02-15 23:35:00,2020-02-16 00:35:00,-1,cash_sponsored_rejection,12
13679,13680,13692,2020-02-17 11:55:00,2020-02-17 12:00:00,2020-02-17 13:00:00,-1,cash_sponsored_rejection,12
14451,14452,14464,2020-02-20 04:15:00,2020-02-20 04:20:00,2020-02-20 05:20:00,-1,cash_sponsored_rejection,12
16148,16149,16161,2020-02-26 01:40:00,2020-02-26 01:45:00,2020-02-26 02:45:00,-1,cash_sponsored_rejection,12
16858,16859,16871,2020-02-28 12:50:00,2020-02-28 12:55:00,2020-02-28 13:55:00,-1,cash_sponsored_rejection,12
17341,17342,17354,2020-03-01 05:05:00,2020-03-01 05:10:00,2020-03-01 06:10:00,1,cash_sponsored_rejection,12
19157,19158,19170,2020-03-07 12:25:00,2020-03-07 12:30:00,2020-03-07 13:30:00,1,cash_sponsored_rejection,12
19341,19342,19354,2020-03-08 03:45:00,2020-03-08 03:50:00,2020-03-08 04:50:00,-1,cash_sponsored_rejection,12
19526,19527,19539,2020-03-08 19:10:00,2020-03-08 19:15:00,2020-03-08 20:15:00,-1,cash_sponsored_rejection,12
