policy,anchor_position,signal_position,entry_position,exit_position,anchor_date,signal_date,entry_date,exit_date,side,hold_bars
primary,78048,78057,78058,78106,2020-09-28 00:00:00,2020-09-28 00:45:00,2020-09-28 00:50:00,2020-09-28 04:50:00,1,48
direction_flip,78048,78057,78058,78106,2020-09-28 00:00:00,2020-09-28 00:45:00,2020-09-28 00:50:00,2020-09-28 04:50:00,-1,48
immediate_shock,2186,2186,2187,2235,2020-01-08 14:10:00,2020-01-08 14:10:00,2020-01-08 14:15:00,2020-01-08 18:15:00,-1,48
immediate_shock,2556,2556,2557,2605,2020-01-09 21:00:00,2020-01-09 21:00:00,2020-01-09 21:05:00,2020-01-10 01:05:00,-1,48
immediate_shock,3140,3140,3141,3189,2020-01-11 21:40:00,2020-01-11 21:40:00,2020-01-11 21:45:00,2020-01-12 01:45:00,1,48
immediate_shock,3895,3895,3896,3944,2020-01-14 12:35:00,2020-01-14 12:35:00,2020-01-14 12:40:00,2020-01-14 16:40:00,-1,48
immediate_shock,4201,4201,4202,4250,2020-01-15 14:05:00,2020-01-15 14:05:00,2020-01-15 14:10:00,2020-01-15 18:10:00,-1,48
immediate_shock,5316,5316,5317,5365,2020-01-19 11:00:00,2020-01-19 11:00:00,2020-01-19 11:05:00,2020-01-19 15:05:00,-1,48
immediate_shock,5450,5450,5451,5499,2020-01-19 22:10:00,2020-01-19 22:10:00,2020-01-19 22:15:00,2020-01-20 02:15:00,-1,48
immediate_shock,6000,6000,6001,6049,2020-01-21 20:00:00,2020-01-21 20:00:00,2020-01-21 20:05:00,2020-01-22 00:05:00,1,48
immediate_shock,7405,7405,7406,7454,2020-01-26 17:05:00,2020-01-26 17:05:00,2020-01-26 17:10:00,2020-01-26 21:10:00,1,48
immediate_shock,7715,7715,7716,7764,2020-01-27 18:55:00,2020-01-27 18:55:00,2020-01-27 19:00:00,2020-01-27 23:00:00,1,48
immediate_shock,8197,8197,8198,8246,2020-01-29 11:05:00,2020-01-29 11:05:00,2020-01-29 11:10:00,2020-01-29 15:10:00,-1,48
immediate_shock,9522,9522,9523,9571,2020-02-03 01:30:00,2020-02-03 01:30:00,2020-02-03 01:35:00,2020-02-03 05:35:00,1,48
immediate_shock,11591,11591,11592,11640,2020-02-10 05:55:00,2020-02-10 05:55:00,2020-02-10 06:00:00,2020-02-10 10:00:00,-1,48
immediate_shock,11996,11996,11997,12045,2020-02-11 15:40:00,2020-02-11 15:40:00,2020-02-11 15:45:00,2020-02-11 19:45:00,1,48
immediate_shock,12188,12188,12189,12237,2020-02-12 07:40:00,2020-02-12 07:40:00,2020-02-12 07:45:00,2020-02-12 11:45:00,1,48
immediate_shock,12471,12471,12472,12520,2020-02-13 07:15:00,2020-02-13 07:15:00,2020-02-13 07:20:00,2020-02-13 11:20:00,-1,48
immediate_shock,12547,12547,12548,12596,2020-02-13 13:35:00,2020-02-13 13:35:00,2020-02-13 13:40:00,2020-02-13 17:40:00,1,48
immediate_shock,13150,13150,13151,13199,2020-02-15 15:50:00,2020-02-15 15:50:00,2020-02-15 15:55:00,2020-02-15 19:55:00,-1,48
immediate_shock,13443,13443,13444,13492,2020-02-16 16:15:00,2020-02-16 16:15:00,2020-02-16 16:20:00,2020-02-16 20:20:00,-1,48
immediate_shock,14008,14008,14009,14057,2020-02-18 15:20:00,2020-02-18 15:20:00,2020-02-18 15:25:00,2020-02-18 19:25:00,1,48
immediate_shock,14255,14255,14256,14304,2020-02-19 11:55:00,2020-02-19 11:55:00,2020-02-19 12:00:00,2020-02-19 16:00:00,1,48
immediate_shock,14370,14370,14371,14419,2020-02-19 21:30:00,2020-02-19 21:30:00,2020-02-19 21:35:00,2020-02-20 01:35:00,-1,48
immediate_shock,14599,14599,14600,14648,2020-02-20 16:35:00,2020-02-20 16:35:00,2020-02-20 16:40:00,2020-02-20 20:40:00,-1,48
immediate_shock,14928,14928,14929,14977,2020-02-21 20:00:00,2020-02-21 20:00:00,2020-02-21 20:05:00,2020-02-22 00:05:00,-1,48
immediate_shock,15312,15312,15313,15361,2020-02-23 04:00:00,2020-02-23 04:00:00,2020-02-23 04:05:00,2020-02-23 08:05:00,1,48
immediate_shock,15583,15583,15584,15632,2020-02-24 02:35:00,2020-02-24 02:35:00,2020-02-24 02:40:00,2020-02-24 06:40:00,-1,48
immediate_shock,15768,15768,15769,15817,2020-02-24 18:00:00,2020-02-24 18:00:00,2020-02-24 18:05:00,2020-02-24 22:05:00,-1,48
immediate_shock,16321,16321,16322,16370,2020-02-26 16:05:00,2020-02-26 16:05:00,2020-02-26 16:10:00,2020-02-26 20:10:00,-1,48
immediate_shock,16567,16567,16568,16616,2020-02-27 12:35:00,2020-02-27 12:35:00,2020-02-27 12:40:00,2020-02-27 16:40:00,-1,48
immediate_shock,16687,16687,16688,16736,2020-02-27 22:35:00,2020-02-27 22:35:00,2020-02-27 22:40:00,2020-02-28 02:40:00,1,48
immediate_shock,16917,16917,16918,16966,2020-02-28 17:45:00,2020-02-28 17:45:00,2020-02-28 17:50:00,2020-02-28 21:50:00,1,48
immediate_shock,17424,17424,17425,17473,2020-03-01 12:00:00,2020-03-01 12:00:00,2020-03-01 12:05:00,2020-03-01 16:05:00,1,48
immediate_shock,17478,17478,17479,17527,2020-03-01 16:30:00,2020-03-01 16:30:00,2020-03-01 16:35:00,2020-03-01 20:35:00,-1,48
immediate_shock,18036,18036,18037,18085,2020-03-03 15:00:00,2020-03-03 15:00:00,2020-03-03 15:05:00,2020-03-03 19:05:00,1,48
immediate_shock,18545,18545,18546,18594,2020-03-05 09:25:00,2020-03-05 09:25:00,2020-03-05 09:30:00,2020-03-05 13:30:00,1,48
immediate_shock,19208,19208,19209,19257,2020-03-07 16:40:00,2020-03-07 16:40:00,2020-03-07 16:45:00,2020-03-07 20:45:00,-1,48
