policy_id,clock,side,state,origin_lag,maturity_height,confirmation_height,entry_time,exit_time,fee_pressure,cadence_compression,fee_rank,cadence_rank
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,663942,663948,2021-01-01T07:45:00Z,2021-01-04T07:45:00Z,18.526815813565815,0.16477637757820585,0.81654456654456653,0.90546779609279604
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,664435,664441,2021-01-04T11:20:00Z,2021-01-07T11:20:00Z,17.651740609376827,0.161421492686213,0.40308302808302809,0.90373168498168499
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,664969,664975,2021-01-07T16:05:00Z,2021-01-10T16:05:00Z,18.051804234174337,0.1675905921939605,0.56211843711843712,0.90480006105006106
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,665703,665709,2021-01-12T11:25:00Z,2021-01-15T11:25:00Z,18.735155179073125,0.17187629893241602,0.90453296703296704,0.91468253968253965
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,666265,666271,2021-01-16T04:55:00Z,2021-01-19T04:55:00Z,18.263400094209175,0.1656414465427562,0.65190018315018317,0.90363629426129422
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,666974,666980,2021-01-21T06:55:00Z,2021-01-24T06:55:00Z,15.81046498855833,-0.12550132105946171,0.046245421245421248,0.097451159951159952
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,667436,667442,2021-01-24T11:05:00Z,2021-01-27T11:05:00Z,16.835326380618341,0.16546443972753169,0.15625,0.90249160561660557
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,668252,668258,2021-01-30T00:55:00Z,2021-02-02T00:55:00Z,18.310245875515513,0.16591685276867774,0.69852716727716724,0.90323565323565325
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,668671,668677,2021-02-02T03:50:00Z,2021-02-05T03:50:00Z,18.537933932597944,-0.13080894011141378,0.82791514041514036,0.09844322344322344
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,669169,669175,2021-02-05T07:30:00Z,2021-02-08T07:30:00Z,18.489642552290196,0.16615297563237094,0.79998473748473753,0.90604014041514036
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,669664,669670,2021-02-08T10:20:00Z,2021-02-11T10:20:00Z,17.563556394709924,0.17272772512263351,0.34180402930402931,0.91430097680097677
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,670130,670136,2021-02-11T17:25:00Z,2021-02-14T17:25:00Z,18.673826641846233,-0.13987787768338655,0.88927045177045172,0.086900946275946273
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,670829,670835,2021-02-16T13:45:00Z,2021-02-19T13:45:00Z,18.692524474435096,-0.13990685941040967,0.89251373626373631,0.086137820512820512
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,671788,671794,2021-02-23T09:05:00Z,2021-02-26T09:05:00Z,18.378386729041505,-0.14575842026466496,0.71039377289377292,0.081082112332112335
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,672423,672429,2021-02-27T14:25:00Z,2021-03-02T14:25:00Z,18.392057427507506,0.17671729007412287,0.7079136141636142,0.92382097069597069
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,672946,672952,2021-03-03T08:40:00Z,2021-03-06T08:40:00Z,18.657796531365456,0.16837920467124912,0.86263736263736268,0.90956959706959706
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,673422,673428,2021-03-06T16:10:00Z,2021-03-09T16:10:00Z,18.351537664756229,0.1642655519943837,0.68513431013431014,0.90333104395604391
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,674129,674135,2021-03-11T14:25:00Z,2021-03-14T14:25:00Z,18.536691160558615,-0.13393339514401445,0.79571123321123316,0.096573565323565327
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,674580,674586,2021-03-14T15:30:00Z,2021-03-17T15:30:00Z,18.427568200873598,0.16905001460071459,0.72722069597069594,0.92487026862026867
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,675282,675288,2021-03-19T10:20:00Z,2021-03-22T10:20:00Z,18.569515137337891,0.1540062458139082,0.81349206349206349,0.90789072039072038
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,675825,675831,2021-03-22T23:20:00Z,2021-03-25T23:20:00Z,16.070326874994318,0.15433680825919138,0.044070512820512824,0.90747100122100122
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,676296,676302,2021-03-25T23:25:00Z,2021-03-28T23:25:00Z,18.281458032166256,0.16631042185497089,0.62465659340659341,0.92904838217338215
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,677043,677049,2021-03-30T23:05:00Z,2021-04-02T23:05:00Z,17.026544152772576,0.17622020793597826,0.15598290598290598,0.94108669108669107
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,677545,677551,2021-04-03T09:10:00Z,2021-04-06T09:10:00Z,18.26238186222001,-0.13016531707674697,0.6170253357753358,0.097069597069597072
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,678202,678208,2021-04-07T21:25:00Z,2021-04-10T21:25:00Z,17.907890040681728,0.15917159689525509,0.41903235653235654,0.91588446275946278
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,679128,679134,2021-04-14T05:50:00Z,2021-04-17T05:50:00Z,18.098226589298996,-0.12829060029820266,0.51201923076923073,0.099549755799755793
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,679708,679714,2021-04-18T19:15:00Z,2021-04-21T19:15:00Z,19.152574164544099,-0.13672836020681742,0.97393925518925517,0.091708638583638577
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,680209,680215,2021-04-23T02:30:00Z,2021-04-26T02:30:00Z,19.107687641500011,0.17998429033046812,0.95902014652014655,0.94837454212454209
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,680714,680720,2021-04-26T21:30:00Z,2021-04-29T21:30:00Z,17.192890782879406,-0.17159759343097897,0.16662851037851037,0.060325091575091576
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,681165,681171,2021-04-30T05:25:00Z,2021-05-03T05:25:00Z,18.134576120007559,-0.14366734981241305,0.50820360195360192,0.074690934065934064
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,681633,681639,2021-05-03T05:35:00Z,2021-05-06T05:35:00Z,18.116846606386609,0.15231625230762769,0.50343406593406592,0.90123244810744807
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,682205,682211,2021-05-06T12:55:00Z,2021-05-09T12:55:00Z,16.731119278910199,0.17417483165818612,0.091880341880341887,0.92492750305250304
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,682959,682965,2021-05-10T19:00:00Z,2021-05-13T19:00:00Z,18.16469147992002,0.16978052529964371,0.54330738705738701,0.90590659340659341
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,683588,683594,2021-05-14T17:50:00Z,2021-05-17T17:50:00Z,17.545884772240903,-0.13573936991430074,0.26766636141636141,0.074690934065934064
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,684047,684053,2021-05-18T08:05:00Z,2021-05-21T08:05:00Z,17.40754642971287,-0.13839869473462374,0.22947191697191696,0.078849969474969472
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,684620,684626,2021-05-23T09:25:00Z,2021-05-26T09:25:00Z,18.026619207261298,-0.14155743096964449,0.45001526251526253,0.095715048840048847
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,685064,685070,2021-05-26T22:45:00Z,2021-05-29T22:45:00Z,18.519794272755718,-0.14864986375622352,0.77751068376068377,0.098271520146520144
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,685458,685464,2021-05-30T07:10:00Z,2021-06-02T07:10:00Z,17.338801228337097,-0.15864058510011039,0.196504884004884,0.096974206349206352
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,685951,685957,2021-06-02T15:45:00Z,2021-06-05T15:45:00Z,17.55102950807504,0.17084763472032688,0.26232448107448109,0.91336614774114777
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,686836,686842,2021-06-08T21:00:00Z,2021-06-11T21:00:00Z,16.866723469234216,0.20097444529316433,0.1140491452991453,0.94614239926739929
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,687260,687266,2021-06-12T10:55:00Z,2021-06-15T10:55:00Z,17.754246494739384,-0.16101279584770331,0.35321275946275948,0.099015567765567761
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,687781,687787,2021-06-16T10:50:00Z,2021-06-19T10:50:00Z,14.997114739642045,-0.2252480020702318,0.0115995115995116,0.051701770451770449
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,690423,690429,2021-07-10T12:30:00Z,2021-07-13T12:30:00Z,16.671446426049261,0.16501223127139214,0.10748626373626374,0.90968406593406592
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,691005,691011,2021-07-14T18:05:00Z,2021-07-17T18:05:00Z,15.685875240627453,0.15780456938087936,0.03407356532356532,0.90348366910866906
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,691739,691745,2021-07-19T18:25:00Z,2021-07-22T18:25:00Z,16.73070603096761,0.1559912615479247,0.1475503663003663,0.9043231074481074
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,692379,692385,2021-07-24T05:40:00Z,2021-07-27T05:40:00Z,16.275942036103242,0.1540062458139082,0.1024496336996337,0.90109890109890112
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,692922,692928,2021-07-27T18:10:00Z,2021-07-30T18:10:00Z,15.320231747461536,0.16845810013480089,0.046550671550671552,0.92265720390720396
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,693463,693469,2021-07-31T02:05:00Z,2021-08-03T02:05:00Z,15.716746211853483,0.16173492318556623,0.07486263736263736,0.90413232600732596
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,693940,693946,2021-08-03T04:35:00Z,2021-08-06T04:35:00Z,15.338197059614602,0.15966027425087553,0.060935592185592184,0.901480463980464
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,694404,694410,2021-08-06T05:25:00Z,2021-08-09T05:25:00Z,14.835239078240319,0.16381388523821494,0.040025946275946273,0.90489545177045172
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,694907,694913,2021-08-09T09:25:00Z,2021-08-12T09:25:00Z,15.424192384637561,0.16727532125538855,0.080280830280830287,0.90789072039072038
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,695722,695728,2021-08-14T15:55:00Z,2021-08-17T15:55:00Z,16.712725459165757,0.16169573900029838,0.26827686202686202,0.9017666361416361
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,696245,696251,2021-08-17T17:50:00Z,2021-08-20T17:50:00Z,14.659453797898871,0.18094250811883628,0.046359890109890112,0.92105463980463975
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,696717,696723,2021-08-20T19:50:00Z,2021-08-23T19:50:00Z,12.723809332786407,0.17250984940996181,0.0099587912087912081,0.90514346764346765
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,697820,697826,2021-08-27T14:30:00Z,2021-08-30T14:30:00Z,15.799024454247137,0.17914660230031096,0.17086385836385837,0.90430402930402931
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,699123,699129,2021-09-05T11:15:00Z,2021-09-08T11:15:00Z,14.62405704646892,0.17763256730782304,0.061965811965811968,0.90354090354090355
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,700319,700325,2021-09-13T10:35:00Z,2021-09-16T10:35:00Z,13.854327343395889,0.19146321471123803,0.03201312576312576,0.91670482295482292
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,701057,701063,2021-09-18T10:10:00Z,2021-09-21T10:10:00Z,16.3391159096814,0.18410314287638527,0.35233516483516486,0.90520070207570202
EMFC-864,cadence_only,1,LOW_PRESSURE_EXPANDED,100,701616,701622,2021-09-22T03:25:00Z,2021-09-25T03:25:00Z,15.985615134541352,-0.24960370657133035,0.28144078144078144,0.092185592185592191
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,702104,702110,2021-09-25T08:05:00Z,2021-09-28T08:05:00Z,16.470485105289896,0.19023276806529071,0.41487332112332115,0.90928342490842495
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,702576,702582,2021-09-28T15:10:00Z,2021-10-01T15:10:00Z,16.000047880262709,0.18330203730791605,0.30559371184371187,0.90014499389499392
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,703161,703167,2021-10-02T10:55:00Z,2021-10-05T10:55:00Z,16.838624702857423,0.19081754571521886,0.536019536019536,0.90810057997558002
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,703665,703671,2021-10-05T14:05:00Z,2021-10-08T14:05:00Z,15.707576794147469,0.19603515988171574,0.25999694749694752,0.90758547008547008
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,704400,704406,2021-10-10T19:20:00Z,2021-10-13T19:20:00Z,14.760276009529138,0.19091840401947283,0.10580738705738706,0.90125152625152627
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,704884,704890,2021-10-14T00:45:00Z,2021-10-17T00:45:00Z,15.955123089173211,0.19235169083131218,0.33745421245421248,0.9046283577533577
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,705421,705427,2021-10-17T18:20:00Z,2021-10-20T18:20:00Z,14.011727623450161,0.19384772863257763,0.050099206349206352,0.9043421855921856
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,706599,706605,2021-10-25T12:20:00Z,2021-10-28T12:20:00Z,15.06772509038178,0.20448536949567633,0.16292735042735043,0.91407203907203904
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,707234,707240,2021-10-29T11:20:00Z,2021-11-01T11:20:00Z,15.609850195692923,0.22299772861352321,0.28567612942612941,0.93316926129426125
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,707985,707991,2021-11-03T09:55:00Z,2021-11-06T09:55:00Z,16.635479283897734,0.20178983998935285,0.63110500610500608,0.91058073870573875
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,708462,708468,2021-11-06T12:45:00Z,2021-11-09T12:45:00Z,16.63551421346251,0.19437389531812913,0.64323870573870578,0.90764270451770457
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,708969,708975,2021-11-09T22:55:00Z,2021-11-12T22:55:00Z,16.861229612789131,0.19435365301779342,0.72290903540903539,0.91701007326007322
EMFC-864,cadence_only,-1,HIGH_PRESSURE_COMPRESSED,100,709583,709589,2021-11-14T00:35:00Z,2021-11-17T00:35:00Z,16.386021192051487,0.1753856657928422,0.58237942612942617,0.90247252747252749
