signal_position,entry_position,exit_position,signal_date,entry_date,exit_date,side,branch,hold_bars
4372,4373,4421,2020-01-16 04:20:00,2020-01-16 04:25:00,2020-01-16 08:25:00,-1,luri48,48
5371,5372,5420,2020-01-19 15:35:00,2020-01-19 15:40:00,2020-01-19 19:40:00,1,luri48,48
6707,6708,6756,2020-01-24 06:55:00,2020-01-24 07:00:00,2020-01-24 11:00:00,1,luri48,48
7295,7296,7344,2020-01-26 07:55:00,2020-01-26 08:00:00,2020-01-26 12:00:00,1,luri48,48
10867,10868,10916,2020-02-07 17:35:00,2020-02-07 17:40:00,2020-02-07 21:40:00,-1,luri48,48
12059,12060,12108,2020-02-11 20:55:00,2020-02-11 21:00:00,2020-02-12 01:00:00,-1,luri48,48
12157,12158,12206,2020-02-12 05:05:00,2020-02-12 05:10:00,2020-02-12 09:10:00,1,luri48,48
12936,12937,12985,2020-02-14 22:00:00,2020-02-14 22:05:00,2020-02-15 02:05:00,-1,luri48,48
13909,13910,13958,2020-02-18 07:05:00,2020-02-18 07:10:00,2020-02-18 11:10:00,1,luri48,48
15707,15708,15756,2020-02-24 12:55:00,2020-02-24 13:00:00,2020-02-24 17:00:00,1,luri48,48
16206,16207,16255,2020-02-26 06:30:00,2020-02-26 06:35:00,2020-02-26 10:35:00,1,luri48,48
16904,16905,16953,2020-02-28 16:40:00,2020-02-28 16:45:00,2020-02-28 20:45:00,-1,luri48,48
18121,18122,18170,2020-03-03 22:05:00,2020-03-03 22:10:00,2020-03-04 02:10:00,1,luri48,48
18212,18213,18261,2020-03-04 05:40:00,2020-03-04 05:45:00,2020-03-04 09:45:00,1,luri48,48
18998,18999,19047,2020-03-06 23:10:00,2020-03-06 23:15:00,2020-03-07 03:15:00,1,luri48,48
19404,19405,19453,2020-03-08 09:00:00,2020-03-08 09:05:00,2020-03-08 13:05:00,1,luri48,48
20271,20272,20320,2020-03-11 09:15:00,2020-03-11 09:20:00,2020-03-11 13:20:00,-1,luri48,48
20928,20929,20977,2020-03-13 16:00:00,2020-03-13 16:05:00,2020-03-13 20:05:00,-1,luri48,48
21869,21870,21918,2020-03-16 22:25:00,2020-03-16 22:30:00,2020-03-17 02:30:00,-1,luri48,48
22248,22249,22297,2020-03-18 06:00:00,2020-03-18 06:05:00,2020-03-18 10:05:00,-1,luri48,48
22495,22496,22544,2020-03-19 02:35:00,2020-03-19 02:40:00,2020-03-19 06:40:00,-1,luri48,48
22787,22788,22836,2020-03-20 02:55:00,2020-03-20 03:00:00,2020-03-20 07:00:00,-1,luri48,48
23431,23432,23480,2020-03-22 08:35:00,2020-03-22 08:40:00,2020-03-22 12:40:00,-1,luri48,48
25362,25363,25411,2020-03-29 01:30:00,2020-03-29 01:35:00,2020-03-29 05:35:00,-1,luri48,48
25637,25638,25686,2020-03-30 00:25:00,2020-03-30 00:30:00,2020-03-30 04:30:00,-1,luri48,48
26294,26295,26343,2020-04-01 07:10:00,2020-04-01 07:15:00,2020-04-01 11:15:00,-1,luri48,48
26405,26406,26454,2020-04-01 16:25:00,2020-04-01 16:30:00,2020-04-01 20:30:00,-1,luri48,48
26799,26800,26848,2020-04-03 01:15:00,2020-04-03 01:20:00,2020-04-03 05:20:00,-1,luri48,48
27061,27062,27110,2020-04-03 23:05:00,2020-04-03 23:10:00,2020-04-04 03:10:00,-1,luri48,48
27396,27397,27445,2020-04-05 03:00:00,2020-04-05 03:05:00,2020-04-05 07:05:00,-1,luri48,48
29210,29211,29259,2020-04-11 10:10:00,2020-04-11 10:15:00,2020-04-11 14:15:00,-1,luri48,48
29278,29279,29327,2020-04-11 15:50:00,2020-04-11 15:55:00,2020-04-11 19:55:00,-1,luri48,48
29830,29831,29879,2020-04-13 13:50:00,2020-04-13 13:55:00,2020-04-13 17:55:00,-1,luri48,48
30034,30035,30083,2020-04-14 06:50:00,2020-04-14 06:55:00,2020-04-14 10:55:00,-1,luri48,48
30182,30183,30231,2020-04-14 19:10:00,2020-04-14 19:15:00,2020-04-14 23:15:00,-1,luri48,48
31045,31046,31094,2020-04-17 19:05:00,2020-04-17 19:10:00,2020-04-17 23:10:00,-1,luri48,48
31114,31115,31163,2020-04-18 00:50:00,2020-04-18 00:55:00,2020-04-18 04:55:00,1,luri48,48
31641,31642,31690,2020-04-19 20:45:00,2020-04-19 20:50:00,2020-04-20 00:50:00,-1,luri48,48
31991,31992,32040,2020-04-21 01:55:00,2020-04-21 02:00:00,2020-04-21 06:00:00,-1,luri48,48
32090,32091,32139,2020-04-21 10:10:00,2020-04-21 10:15:00,2020-04-21 14:15:00,-1,luri48,48
32549,32550,32598,2020-04-23 00:25:00,2020-04-23 00:30:00,2020-04-23 04:30:00,-1,luri48,48
33019,33020,33068,2020-04-24 15:35:00,2020-04-24 15:40:00,2020-04-24 19:40:00,1,luri48,48
33579,33580,33628,2020-04-26 14:15:00,2020-04-26 14:20:00,2020-04-26 18:20:00,-1,luri48,48
34729,34730,34778,2020-04-30 14:05:00,2020-04-30 14:10:00,2020-04-30 18:10:00,-1,luri48,48
