setup_position,signal_position,entry_position,exit_position,setup_date,signal_date,entry_date,exit_date,side,branch,hold_bars
3228,3229,3230,3242,2020-01-12 05:00:00,2020-01-12 05:05:00,2020-01-12 05:10:00,2020-01-12 06:10:00,-1,lvrt_r0,12
3349,3350,3351,3363,2020-01-12 15:05:00,2020-01-12 15:10:00,2020-01-12 15:15:00,2020-01-12 16:15:00,1,lvrt_r0,12
3414,3415,3416,3428,2020-01-12 20:30:00,2020-01-12 20:35:00,2020-01-12 20:40:00,2020-01-12 21:40:00,-1,lvrt_r0,12
3549,3550,3551,3563,2020-01-13 07:45:00,2020-01-13 07:50:00,2020-01-13 07:55:00,2020-01-13 08:55:00,-1,lvrt_r0,12
3572,3573,3574,3586,2020-01-13 09:40:00,2020-01-13 09:45:00,2020-01-13 09:50:00,2020-01-13 10:50:00,1,lvrt_r0,12
3685,3686,3687,3699,2020-01-13 19:05:00,2020-01-13 19:10:00,2020-01-13 19:15:00,2020-01-13 20:15:00,1,lvrt_r0,12
3869,3870,3871,3883,2020-01-14 10:25:00,2020-01-14 10:30:00,2020-01-14 10:35:00,2020-01-14 11:35:00,-1,lvrt_r0,12
3883,3884,3885,3897,2020-01-14 11:35:00,2020-01-14 11:40:00,2020-01-14 11:45:00,2020-01-14 12:45:00,-1,lvrt_r0,12
4277,4278,4279,4291,2020-01-15 20:25:00,2020-01-15 20:30:00,2020-01-15 20:35:00,2020-01-15 21:35:00,-1,lvrt_r0,12
5804,5805,5806,5818,2020-01-21 03:40:00,2020-01-21 03:45:00,2020-01-21 03:50:00,2020-01-21 04:50:00,1,lvrt_r0,12
5827,5828,5829,5841,2020-01-21 05:35:00,2020-01-21 05:40:00,2020-01-21 05:45:00,2020-01-21 06:45:00,-1,lvrt_r0,12
5848,5849,5850,5862,2020-01-21 07:20:00,2020-01-21 07:25:00,2020-01-21 07:30:00,2020-01-21 08:30:00,1,lvrt_r0,12
6060,6061,6062,6074,2020-01-22 01:00:00,2020-01-22 01:05:00,2020-01-22 01:10:00,2020-01-22 02:10:00,1,lvrt_r0,12
6291,6292,6293,6305,2020-01-22 20:15:00,2020-01-22 20:20:00,2020-01-22 20:25:00,2020-01-22 21:25:00,1,lvrt_r0,12
6320,6321,6322,6334,2020-01-22 22:40:00,2020-01-22 22:45:00,2020-01-22 22:50:00,2020-01-22 23:50:00,-1,lvrt_r0,12
6369,6370,6371,6383,2020-01-23 02:45:00,2020-01-23 02:50:00,2020-01-23 02:55:00,2020-01-23 03:55:00,1,lvrt_r0,12
6387,6388,6389,6401,2020-01-23 04:15:00,2020-01-23 04:20:00,2020-01-23 04:25:00,2020-01-23 05:25:00,-1,lvrt_r0,12
6646,6647,6648,6660,2020-01-24 01:50:00,2020-01-24 01:55:00,2020-01-24 02:00:00,2020-01-24 03:00:00,-1,lvrt_r0,12
6909,6910,6911,6923,2020-01-24 23:45:00,2020-01-24 23:50:00,2020-01-24 23:55:00,2020-01-25 00:55:00,1,lvrt_r0,12
6965,6966,6967,6979,2020-01-25 04:25:00,2020-01-25 04:30:00,2020-01-25 04:35:00,2020-01-25 05:35:00,-1,lvrt_r0,12
7255,7256,7257,7269,2020-01-26 04:35:00,2020-01-26 04:40:00,2020-01-26 04:45:00,2020-01-26 05:45:00,1,lvrt_r0,12
7571,7572,7573,7585,2020-01-27 06:55:00,2020-01-27 07:00:00,2020-01-27 07:05:00,2020-01-27 08:05:00,-1,lvrt_r0,12
8384,8385,8386,8398,2020-01-30 02:40:00,2020-01-30 02:45:00,2020-01-30 02:50:00,2020-01-30 03:50:00,1,lvrt_r0,12
9164,9165,9166,9178,2020-02-01 19:40:00,2020-02-01 19:45:00,2020-02-01 19:50:00,2020-02-01 20:50:00,-1,lvrt_r0,12
9825,9826,9827,9839,2020-02-04 02:45:00,2020-02-04 02:50:00,2020-02-04 02:55:00,2020-02-04 03:55:00,1,lvrt_r0,12
