policy_id,decision_date,entry_date,exit_date,source_observation_date,feature_available_at,observation_age_days,minimum_reference_count,all_features_finite,prediction_eligible,fee_share_level_z,fee_share_change_z,transaction_density_level_z,transaction_density_change_z,breadth_level_z,breadth_change_z,fanout_level_z,fanout_change_z
NWE-7,2020-01-06 12:00:00,2020-01-06 12:05:00,2020-01-13 12:05:00,2020-01-05 00:00:00,2021-02-26 11:07:54,1.5,0,False,False,,,,,,,,
NWE-7,2020-01-13 12:00:00,2020-01-13 12:05:00,2020-01-20 12:05:00,2020-01-12 00:00:00,2021-02-26 11:07:59,1.5,4,False,False,,,,,,,,
NWE-7,2020-01-20 12:00:00,2020-01-20 12:05:00,2020-01-27 12:05:00,2020-01-19 00:00:00,2021-02-26 11:08:04,1.5,11,False,False,,,,,,,,
NWE-7,2020-01-27 12:00:00,2020-01-27 12:05:00,2020-02-03 12:05:00,2020-01-26 00:00:00,2021-02-26 11:08:08,1.5,17,False,False,,,,,,,,
NWE-7,2020-02-03 12:00:00,2020-02-03 12:05:00,2020-02-10 12:05:00,2020-02-02 00:00:00,2021-02-26 11:08:13,1.5,25,False,False,,,,,,,,
NWE-7,2020-02-10 12:00:00,2020-02-10 12:05:00,2020-02-17 12:05:00,2020-02-09 00:00:00,2021-02-26 11:08:17,1.5,32,False,False,,,,,,,,
NWE-7,2020-02-17 12:00:00,2020-02-17 12:05:00,2020-02-24 12:05:00,2020-02-16 00:00:00,2021-02-26 11:08:20,1.5,39,False,False,,,,,,,,
NWE-7,2020-02-24 12:00:00,2020-02-24 12:05:00,2020-03-02 12:05:00,2020-02-23 00:00:00,2021-02-26 11:08:25,1.5,46,False,False,,,,,,,,
NWE-7,2020-03-02 12:00:00,2020-03-02 12:05:00,2020-03-09 12:05:00,2020-03-01 00:00:00,2021-02-26 11:08:29,1.5,52,False,False,,,,,,,,
NWE-7,2020-03-09 12:00:00,2020-03-09 12:05:00,2020-03-16 12:05:00,2020-03-08 00:00:00,2021-02-26 11:08:34,1.5,60,False,False,,,,,,,,
NWE-7,2020-03-16 12:00:00,2020-03-16 12:05:00,2020-03-23 12:05:00,2020-03-15 00:00:00,2021-02-26 11:08:39,1.5,67,False,False,,,,,,,,
