setup_position,confirmation_end_position,entry_position,exit_position,side,setup_bar_date,confirmation_end_bar_date,signal_available_at,entry_date,exit_date,um_confirmation_displacement_bp,spot_confirmation_displacement_bp,confirmation_churn_bars
2511,2517,2519,2615,1,2020-01-09 17:15:00,2020-01-09 17:45:00,2020-01-09 17:50:00,2020-01-09 17:55:00,2020-01-10 01:55:00,27.9027358504,24.97068789121,6
3036,3042,3044,3140,1,2020-01-11 13:00:00,2020-01-11 13:30:00,2020-01-11 13:35:00,2020-01-11 13:40:00,2020-01-11 21:40:00,0.23382540642999672,3.9963693545900014,4
4514,4520,4522,4618,-1,2020-01-16 16:10:00,2020-01-16 16:40:00,2020-01-16 16:45:00,2020-01-16 16:50:00,2020-01-17 00:50:00,27.950631529309995,25.992439322613016,3
7828,7834,7836,7932,-1,2020-01-28 04:20:00,2020-01-28 04:50:00,2020-01-28 04:55:00,2020-01-28 05:00:00,2020-01-28 13:00:00,9.01107149014,14.302332439540002,5
9099,9105,9107,9203,1,2020-02-01 14:15:00,2020-02-01 14:45:00,2020-02-01 14:50:00,2020-02-01 14:55:00,2020-02-01 22:55:00,16.71858288616,21.133444634499998,4
11851,11857,11859,11955,-1,2020-02-11 03:35:00,2020-02-11 04:05:00,2020-02-11 04:10:00,2020-02-11 04:15:00,2020-02-11 12:15:00,0.23581394087700147,0.42035816878169996,4
12157,12163,12165,12261,1,2020-02-12 05:05:00,2020-02-12 05:35:00,2020-02-12 05:40:00,2020-02-12 05:45:00,2020-02-12 13:45:00,8.174024208438999,7.001972304417998,3
12299,12305,12307,12403,-1,2020-02-12 16:55:00,2020-02-12 17:25:00,2020-02-12 17:30:00,2020-02-12 17:35:00,2020-02-13 01:35:00,9.391110071650001,10.96500657168,5
13624,13630,13632,13728,-1,2020-02-17 07:20:00,2020-02-17 07:50:00,2020-02-17 07:55:00,2020-02-17 08:00:00,2020-02-17 16:00:00,30.008622423745003,30.26376098432,3
14820,14826,14828,14924,1,2020-02-21 11:00:00,2020-02-21 11:30:00,2020-02-21 11:35:00,2020-02-21 11:40:00,2020-02-21 19:40:00,10.67368730879,10.997381041780002,3
