signal_position,entry_position,exit_position,signal_date,entry_date,exit_date,side,branch,entry_delay_bars,hold_bars
2189,2192,2204,2020-01-08 14:25:00,2020-01-08 14:40:00,2020-01-08 15:40:00,-1,primary:upper_rejection,3,12
2906,2909,2921,2020-01-11 02:10:00,2020-01-11 02:25:00,2020-01-11 03:25:00,1,primary:lower_rejection,3,12
3564,3567,3579,2020-01-13 09:00:00,2020-01-13 09:15:00,2020-01-13 10:15:00,-1,primary:upper_rejection,3,12
3777,3780,3792,2020-01-14 02:45:00,2020-01-14 03:00:00,2020-01-14 04:00:00,-1,primary:upper_rejection,3,12
4038,4041,4053,2020-01-15 00:30:00,2020-01-15 00:45:00,2020-01-15 01:45:00,-1,primary:upper_rejection,3,12
4755,4758,4770,2020-01-17 12:15:00,2020-01-17 12:30:00,2020-01-17 13:30:00,1,primary:lower_rejection,3,12
5682,5685,5697,2020-01-20 17:30:00,2020-01-20 17:45:00,2020-01-20 18:45:00,1,primary:lower_rejection,3,12
6750,6753,6765,2020-01-24 10:30:00,2020-01-24 10:45:00,2020-01-24 11:45:00,-1,primary:upper_rejection,3,12
7934,7937,7949,2020-01-28 13:10:00,2020-01-28 13:25:00,2020-01-28 14:25:00,1,primary:lower_rejection,3,12
7959,7962,7974,2020-01-28 15:15:00,2020-01-28 15:30:00,2020-01-28 16:30:00,1,primary:lower_rejection,3,12
8068,8071,8083,2020-01-29 00:20:00,2020-01-29 00:35:00,2020-01-29 01:35:00,-1,primary:upper_rejection,3,12
8551,8554,8566,2020-01-30 16:35:00,2020-01-30 16:50:00,2020-01-30 17:50:00,1,primary:lower_rejection,3,12
8599,8602,8614,2020-01-30 20:35:00,2020-01-30 20:50:00,2020-01-30 21:50:00,-1,primary:upper_rejection,3,12
8717,8720,8732,2020-01-31 06:25:00,2020-01-31 06:40:00,2020-01-31 07:40:00,1,primary:lower_rejection,3,12
8875,8878,8890,2020-01-31 19:35:00,2020-01-31 19:50:00,2020-01-31 20:50:00,-1,primary:upper_rejection,3,12
