signal_position,entry_position,exit_position,signal_date,entry_date,exit_date,side,branch,hold_bars
3266,3267,3363,2020-01-12 08:10:00,2020-01-12 08:15:00,2020-01-12 16:15:00,1,rift96,96
4542,4543,4639,2020-01-16 18:30:00,2020-01-16 18:35:00,2020-01-17 02:35:00,1,rift96,96
4664,4665,4761,2020-01-17 04:40:00,2020-01-17 04:45:00,2020-01-17 12:45:00,1,rift96,96
5988,5989,6085,2020-01-21 19:00:00,2020-01-21 19:05:00,2020-01-22 03:05:00,1,rift96,96
6128,6129,6225,2020-01-22 06:40:00,2020-01-22 06:45:00,2020-01-22 14:45:00,1,rift96,96
6274,6275,6371,2020-01-22 18:50:00,2020-01-22 18:55:00,2020-01-23 02:55:00,1,rift96,96
6555,6556,6652,2020-01-23 18:15:00,2020-01-23 18:20:00,2020-01-24 02:20:00,1,rift96,96
6948,6949,7045,2020-01-25 03:00:00,2020-01-25 03:05:00,2020-01-25 11:05:00,1,rift96,96
8821,8822,8918,2020-01-31 15:05:00,2020-01-31 15:10:00,2020-01-31 23:10:00,1,rift96,96
9005,9006,9102,2020-02-01 06:25:00,2020-02-01 06:30:00,2020-02-01 14:30:00,1,rift96,96
9192,9193,9289,2020-02-01 22:00:00,2020-02-01 22:05:00,2020-02-02 06:05:00,1,rift96,96
10444,10445,10541,2020-02-06 06:20:00,2020-02-06 06:25:00,2020-02-06 14:25:00,1,rift96,96
10710,10711,10807,2020-02-07 04:30:00,2020-02-07 04:35:00,2020-02-07 12:35:00,1,rift96,96
11197,11198,11294,2020-02-08 21:05:00,2020-02-08 21:10:00,2020-02-09 05:10:00,1,rift96,96
12083,12084,12180,2020-02-11 22:55:00,2020-02-11 23:00:00,2020-02-12 07:00:00,1,rift96,96
12612,12613,12709,2020-02-13 19:00:00,2020-02-13 19:05:00,2020-02-14 03:05:00,1,rift96,96
13383,13384,13480,2020-02-16 11:15:00,2020-02-16 11:20:00,2020-02-16 19:20:00,1,rift96,96
13821,13822,13918,2020-02-17 23:45:00,2020-02-17 23:50:00,2020-02-18 07:50:00,1,rift96,96
15092,15093,15189,2020-02-22 09:40:00,2020-02-22 09:45:00,2020-02-22 17:45:00,1,rift96,96
16351,16352,16448,2020-02-26 18:35:00,2020-02-26 18:40:00,2020-02-27 02:40:00,1,rift96,96
16755,16756,16852,2020-02-28 04:15:00,2020-02-28 04:20:00,2020-02-28 12:20:00,1,rift96,96
17587,17588,17684,2020-03-02 01:35:00,2020-03-02 01:40:00,2020-03-02 09:40:00,1,rift96,96
18196,18197,18293,2020-03-04 04:20:00,2020-03-04 04:25:00,2020-03-04 12:25:00,1,rift96,96
19187,19188,19284,2020-03-07 14:55:00,2020-03-07 15:00:00,2020-03-07 23:00:00,1,rift96,96
20170,20171,20267,2020-03-11 00:50:00,2020-03-11 00:55:00,2020-03-11 08:55:00,1,rift96,96
26246,26247,26343,2020-04-01 03:10:00,2020-04-01 03:15:00,2020-04-01 11:15:00,1,rift96,96
26579,26580,26676,2020-04-02 06:55:00,2020-04-02 07:00:00,2020-04-02 15:00:00,1,rift96,96
27645,27646,27742,2020-04-05 23:45:00,2020-04-05 23:50:00,2020-04-06 07:50:00,1,rift96,96
28337,28338,28434,2020-04-08 09:25:00,2020-04-08 09:30:00,2020-04-08 17:30:00,1,rift96,96
28835,28836,28932,2020-04-10 02:55:00,2020-04-10 03:00:00,2020-04-10 11:00:00,1,rift96,96
29223,29224,29320,2020-04-11 11:15:00,2020-04-11 11:20:00,2020-04-11 19:20:00,1,rift96,96
30036,30037,30133,2020-04-14 07:00:00,2020-04-14 07:05:00,2020-04-14 15:05:00,1,rift96,96
31047,31048,31144,2020-04-17 19:15:00,2020-04-17 19:20:00,2020-04-18 03:20:00,1,rift96,96
31442,31443,31539,2020-04-19 04:10:00,2020-04-19 04:15:00,2020-04-19 12:15:00,1,rift96,96
32323,32324,32420,2020-04-22 05:35:00,2020-04-22 05:40:00,2020-04-22 13:40:00,1,rift96,96
32603,32604,32700,2020-04-23 04:55:00,2020-04-23 05:00:00,2020-04-23 13:00:00,1,rift96,96
33879,33880,33976,2020-04-27 15:15:00,2020-04-27 15:20:00,2020-04-27 23:20:00,1,rift96,96
35655,35656,35752,2020-05-03 19:15:00,2020-05-03 19:20:00,2020-05-04 03:20:00,1,rift96,96
35861,35862,35958,2020-05-04 12:25:00,2020-05-04 12:30:00,2020-05-04 20:30:00,1,rift96,96
36146,36147,36243,2020-05-05 12:10:00,2020-05-05 12:15:00,2020-05-05 20:15:00,1,rift96,96
36323,36324,36420,2020-05-06 02:55:00,2020-05-06 03:00:00,2020-05-06 11:00:00,1,rift96,96
39414,39415,39511,2020-05-16 20:30:00,2020-05-16 20:35:00,2020-05-17 04:35:00,1,rift96,96
39877,39878,39974,2020-05-18 11:05:00,2020-05-18 11:10:00,2020-05-18 19:10:00,1,rift96,96
41375,41376,41472,2020-05-23 15:55:00,2020-05-23 16:00:00,2020-05-24 00:00:00,1,rift96,96
44044,44045,44141,2020-06-01 22:20:00,2020-06-01 22:25:00,2020-06-02 06:25:00,1,rift96,96
45451,45452,45548,2020-06-06 19:35:00,2020-06-06 19:40:00,2020-06-07 03:40:00,1,rift96,96
45723,45724,45820,2020-06-07 18:15:00,2020-06-07 18:20:00,2020-06-08 02:20:00,1,rift96,96
45896,45897,45993,2020-06-08 08:40:00,2020-06-08 08:45:00,2020-06-08 16:45:00,1,rift96,96
46147,46148,46244,2020-06-09 05:35:00,2020-06-09 05:40:00,2020-06-09 13:40:00,1,rift96,96
47189,47190,47286,2020-06-12 20:25:00,2020-06-12 20:30:00,2020-06-13 04:30:00,1,rift96,96
47300,47301,47397,2020-06-13 05:40:00,2020-06-13 05:45:00,2020-06-13 13:45:00,1,rift96,96
48710,48711,48807,2020-06-18 03:10:00,2020-06-18 03:15:00,2020-06-18 11:15:00,1,rift96,96
48874,48875,48971,2020-06-18 16:50:00,2020-06-18 16:55:00,2020-06-19 00:55:00,1,rift96,96
49220,49221,49317,2020-06-19 21:40:00,2020-06-19 21:45:00,2020-06-20 05:45:00,1,rift96,96
50005,50006,50102,2020-06-22 15:05:00,2020-06-22 15:10:00,2020-06-22 23:10:00,1,rift96,96
50253,50254,50350,2020-06-23 11:45:00,2020-06-23 11:50:00,2020-06-23 19:50:00,1,rift96,96
50941,50942,51038,2020-06-25 21:05:00,2020-06-25 21:10:00,2020-06-26 05:10:00,1,rift96,96
51122,51123,51219,2020-06-26 12:10:00,2020-06-26 12:15:00,2020-06-26 20:15:00,1,rift96,96
52405,52406,52502,2020-06-30 23:05:00,2020-06-30 23:10:00,2020-07-01 07:10:00,1,rift96,96
52513,52514,52610,2020-07-01 08:05:00,2020-07-01 08:10:00,2020-07-01 16:10:00,1,rift96,96
54501,54502,54598,2020-07-08 05:45:00,2020-07-08 05:50:00,2020-07-08 13:50:00,1,rift96,96
55305,55306,55402,2020-07-11 00:45:00,2020-07-11 00:50:00,2020-07-11 08:50:00,1,rift96,96
56448,56449,56545,2020-07-15 00:00:00,2020-07-15 00:05:00,2020-07-15 08:05:00,1,rift96,96
56997,56998,57094,2020-07-16 21:45:00,2020-07-16 21:50:00,2020-07-17 05:50:00,1,rift96,96
57245,57246,57342,2020-07-17 18:25:00,2020-07-17 18:30:00,2020-07-18 02:30:00,1,rift96,96
57916,57917,58013,2020-07-20 02:20:00,2020-07-20 02:25:00,2020-07-20 10:25:00,1,rift96,96
58834,58835,58931,2020-07-23 06:50:00,2020-07-23 06:55:00,2020-07-23 14:55:00,1,rift96,96
59178,59179,59275,2020-07-24 11:30:00,2020-07-24 11:35:00,2020-07-24 19:35:00,1,rift96,96
59524,59525,59621,2020-07-25 16:20:00,2020-07-25 16:25:00,2020-07-26 00:25:00,1,rift96,96
59707,59708,59804,2020-07-26 07:35:00,2020-07-26 07:40:00,2020-07-26 15:40:00,1,rift96,96
66659,66660,66756,2020-08-19 10:55:00,2020-08-19 11:00:00,2020-08-19 19:00:00,1,rift96,96
67569,67570,67666,2020-08-22 14:45:00,2020-08-22 14:50:00,2020-08-22 22:50:00,1,rift96,96
68923,68924,69020,2020-08-27 07:35:00,2020-08-27 07:40:00,2020-08-27 15:40:00,1,rift96,96
70006,70007,70103,2020-08-31 01:50:00,2020-08-31 01:55:00,2020-08-31 09:55:00,1,rift96,96
70120,70121,70217,2020-08-31 11:20:00,2020-08-31 11:25:00,2020-08-31 19:25:00,1,rift96,96
70532,70533,70629,2020-09-01 21:40:00,2020-09-01 21:45:00,2020-09-02 05:45:00,1,rift96,96
73204,73205,73301,2020-09-11 04:20:00,2020-09-11 04:25:00,2020-09-11 12:25:00,1,rift96,96
74633,74634,74730,2020-09-16 03:25:00,2020-09-16 03:30:00,2020-09-16 11:30:00,1,rift96,96
75246,75247,75343,2020-09-18 06:30:00,2020-09-18 06:35:00,2020-09-18 14:35:00,1,rift96,96
77826,77827,77923,2020-09-27 05:30:00,2020-09-27 05:35:00,2020-09-27 13:35:00,1,rift96,96
78056,78057,78153,2020-09-28 00:40:00,2020-09-28 00:45:00,2020-09-28 08:45:00,1,rift96,96
80373,80374,80470,2020-10-06 01:45:00,2020-10-06 01:50:00,2020-10-06 09:50:00,1,rift96,96
81608,81609,81705,2020-10-10 08:40:00,2020-10-10 08:45:00,2020-10-10 16:45:00,1,rift96,96
82598,82599,82695,2020-10-13 19:10:00,2020-10-13 19:15:00,2020-10-14 03:15:00,1,rift96,96
83658,83659,83755,2020-10-17 11:30:00,2020-10-17 11:35:00,2020-10-17 19:35:00,1,rift96,96
83785,83786,83882,2020-10-17 22:05:00,2020-10-17 22:10:00,2020-10-18 06:10:00,1,rift96,96
83887,83888,83984,2020-10-18 06:35:00,2020-10-18 06:40:00,2020-10-18 14:40:00,1,rift96,96
90806,90807,90903,2020-11-11 07:10:00,2020-11-11 07:15:00,2020-11-11 15:15:00,1,rift96,96
92143,92144,92240,2020-11-15 22:35:00,2020-11-15 22:40:00,2020-11-16 06:40:00,1,rift96,96
95937,95938,96034,2020-11-29 02:45:00,2020-11-29 02:50:00,2020-11-29 10:50:00,1,rift96,96
96416,96417,96513,2020-11-30 18:40:00,2020-11-30 18:45:00,2020-12-01 02:45:00,1,rift96,96
97332,97333,97429,2020-12-03 23:00:00,2020-12-03 23:05:00,2020-12-04 07:05:00,1,rift96,96
97699,97700,97796,2020-12-05 05:35:00,2020-12-05 05:40:00,2020-12-05 13:40:00,1,rift96,96
97909,97910,98006,2020-12-05 23:05:00,2020-12-05 23:10:00,2020-12-06 07:10:00,1,rift96,96
99096,99097,99193,2020-12-10 02:00:00,2020-12-10 02:05:00,2020-12-10 10:05:00,1,rift96,96
99692,99693,99789,2020-12-12 03:40:00,2020-12-12 03:45:00,2020-12-12 11:45:00,1,rift96,96
99844,99845,99941,2020-12-12 16:20:00,2020-12-12 16:25:00,2020-12-13 00:25:00,1,rift96,96
100075,100076,100172,2020-12-13 11:35:00,2020-12-13 11:40:00,2020-12-13 19:40:00,1,rift96,96
103457,103458,103554,2020-12-25 05:25:00,2020-12-25 05:30:00,2020-12-25 13:30:00,1,rift96,96
103760,103761,103857,2020-12-26 06:40:00,2020-12-26 06:45:00,2020-12-26 14:45:00,1,rift96,96
103957,103958,104054,2020-12-26 23:05:00,2020-12-26 23:10:00,2020-12-27 07:10:00,1,rift96,96
104571,104572,104668,2020-12-29 02:15:00,2020-12-29 02:20:00,2020-12-29 10:20:00,1,rift96,96
104860,104861,104957,2020-12-30 02:20:00,2020-12-30 02:25:00,2020-12-30 10:25:00,1,rift96,96
105436,105437,105533,2021-01-01 02:20:00,2021-01-01 02:25:00,2021-01-01 10:25:00,1,rift96,96
106227,106228,106324,2021-01-03 20:15:00,2021-01-03 20:20:00,2021-01-04 04:20:00,1,rift96,96
107406,107407,107503,2021-01-07 22:30:00,2021-01-07 22:35:00,2021-01-08 06:35:00,1,rift96,96
108985,108986,109082,2021-01-13 10:05:00,2021-01-13 10:10:00,2021-01-13 18:10:00,1,rift96,96
109338,109339,109435,2021-01-14 15:30:00,2021-01-14 15:35:00,2021-01-14 23:35:00,1,rift96,96
109545,109546,109642,2021-01-15 08:45:00,2021-01-15 08:50:00,2021-01-15 16:50:00,1,rift96,96
109782,109783,109879,2021-01-16 04:30:00,2021-01-16 04:35:00,2021-01-16 12:35:00,1,rift96,96
110011,110012,110108,2021-01-16 23:35:00,2021-01-16 23:40:00,2021-01-17 07:40:00,1,rift96,96
111795,111796,111892,2021-01-23 04:15:00,2021-01-23 04:20:00,2021-01-23 12:20:00,1,rift96,96
112362,112363,112459,2021-01-25 03:30:00,2021-01-25 03:35:00,2021-01-25 11:35:00,1,rift96,96
112627,112628,112724,2021-01-26 01:35:00,2021-01-26 01:40:00,2021-01-26 09:40:00,1,rift96,96
