signal_position,entry_position,exit_position,signal_date,entry_date,exit_date,side,branch,hold_bars
9971,9972,10008,2020-02-04 14:55:00,2020-02-04 15:00:00,2020-02-04 18:00:00,-1,umfr36,36
10951,10952,10988,2020-02-08 00:35:00,2020-02-08 00:40:00,2020-02-08 03:40:00,1,umfr36,36
11090,11091,11127,2020-02-08 12:10:00,2020-02-08 12:15:00,2020-02-08 15:15:00,1,umfr36,36
11196,11197,11233,2020-02-08 21:00:00,2020-02-08 21:05:00,2020-02-09 00:05:00,-1,umfr36,36
11760,11761,11797,2020-02-10 20:00:00,2020-02-10 20:05:00,2020-02-10 23:05:00,-1,umfr36,36
12117,12118,12154,2020-02-12 01:45:00,2020-02-12 01:50:00,2020-02-12 04:50:00,1,umfr36,36
12221,12222,12258,2020-02-12 10:25:00,2020-02-12 10:30:00,2020-02-12 13:30:00,-1,umfr36,36
12330,12331,12367,2020-02-12 19:30:00,2020-02-12 19:35:00,2020-02-12 22:35:00,-1,umfr36,36
17993,17994,18030,2020-03-03 11:25:00,2020-03-03 11:30:00,2020-03-03 14:30:00,-1,umfr36,36
18515,18516,18552,2020-03-05 06:55:00,2020-03-05 07:00:00,2020-03-05 10:00:00,-1,umfr36,36
18713,18714,18750,2020-03-05 23:25:00,2020-03-05 23:30:00,2020-03-06 02:30:00,-1,umfr36,36
18984,18985,19021,2020-03-06 22:00:00,2020-03-06 22:05:00,2020-03-07 01:05:00,-1,umfr36,36
19043,19044,19080,2020-03-07 02:55:00,2020-03-07 03:00:00,2020-03-07 06:00:00,-1,umfr36,36
19142,19143,19179,2020-03-07 11:10:00,2020-03-07 11:15:00,2020-03-07 14:15:00,1,umfr36,36
19887,19888,19924,2020-03-10 01:15:00,2020-03-10 01:20:00,2020-03-10 04:20:00,1,umfr36,36
23418,23419,23455,2020-03-22 07:30:00,2020-03-22 07:35:00,2020-03-22 10:35:00,-1,umfr36,36
27044,27045,27081,2020-04-03 21:40:00,2020-04-03 21:45:00,2020-04-04 00:45:00,-1,umfr36,36
27749,27750,27786,2020-04-06 08:25:00,2020-04-06 08:30:00,2020-04-06 11:30:00,-1,umfr36,36
28091,28092,28128,2020-04-07 12:55:00,2020-04-07 13:00:00,2020-04-07 16:00:00,1,umfr36,36
28564,28565,28601,2020-04-09 04:20:00,2020-04-09 04:25:00,2020-04-09 07:25:00,-1,umfr36,36
28810,28811,28847,2020-04-10 00:50:00,2020-04-10 00:55:00,2020-04-10 03:55:00,-1,umfr36,36
29494,29495,29531,2020-04-12 09:50:00,2020-04-12 09:55:00,2020-04-12 12:55:00,-1,umfr36,36
31432,31433,31469,2020-04-19 03:20:00,2020-04-19 03:25:00,2020-04-19 06:25:00,-1,umfr36,36
31768,31769,31805,2020-04-20 07:20:00,2020-04-20 07:25:00,2020-04-20 10:25:00,-1,umfr36,36
32891,32892,32928,2020-04-24 04:55:00,2020-04-24 05:00:00,2020-04-24 08:00:00,-1,umfr36,36
32927,32928,32964,2020-04-24 07:55:00,2020-04-24 08:00:00,2020-04-24 11:00:00,-1,umfr36,36
33285,33286,33322,2020-04-25 13:45:00,2020-04-25 13:50:00,2020-04-25 16:50:00,-1,umfr36,36
33455,33456,33492,2020-04-26 03:55:00,2020-04-26 04:00:00,2020-04-26 07:00:00,-1,umfr36,36
33748,33749,33785,2020-04-27 04:20:00,2020-04-27 04:25:00,2020-04-27 07:25:00,1,umfr36,36
34315,34316,34352,2020-04-29 03:35:00,2020-04-29 03:40:00,2020-04-29 06:40:00,-1,umfr36,36
