policy_id,clock,source_day,available_time,entry_time,exit_time,side,source_start_height,source_end_height,successor_end_height,block_count,edges,fees,fee_burden,utxo_polarity,fee_rank,polarity_rank
UFCP-1,primary,2020-05-02T00:00:00Z,2020-05-04T00:00:00Z,2020-05-04T00:05:00Z,2020-05-05T00:05:00Z,-1,628491,628638,628644,148,1718902,6824207768,8.28654582048076,-0.09647088664740631,0.9180327868852459,0.0
UFCP-1,primary,2020-05-03T00:00:00Z,2020-05-05T00:00:00Z,2020-05-05T00:05:00Z,2020-05-06T00:05:00Z,-1,628639,628806,628812,168,1753396,5728031251,8.091572685568938,-0.14432335878489513,0.8699186991869918,0.0
UFCP-1,primary,2020-05-05T00:00:00Z,2020-05-07T00:00:00Z,2020-05-07T00:05:00Z,2020-05-08T00:05:00Z,-1,628965,629122,629128,158,1783245,7189874272,8.301994225750422,-0.026151762657402655,0.92,0.072
UFCP-1,primary,2020-05-06T00:00:00Z,2020-05-08T00:00:00Z,2020-05-08T00:05:00Z,2020-05-09T00:05:00Z,-1,629123,629276,629282,154,1763531,6853849328,8.265247669899116,0.004438254842132064,0.8968253968253969,0.1746031746031746
UFCP-1,primary,2020-05-10T00:00:00Z,2020-05-12T00:00:00Z,2020-05-12T00:05:00Z,2020-05-13T00:05:00Z,-1,629697,629866,629872,170,1841931,6327358086,8.14182358618848,-0.16380581031537012,0.8461538461538461,0.0
UFCP-1,primary,2020-05-11T00:00:00Z,2020-05-13T00:00:00Z,2020-05-13T00:05:00Z,2020-05-14T00:05:00Z,-1,629867,630023,630029,157,1808816,8860442418,8.496679489077941,-0.06028584444188906,0.9312977099236641,0.030534351145038167
UFCP-1,primary,2020-05-13T00:00:00Z,2020-05-15T00:00:00Z,2020-05-15T00:05:00Z,2020-05-16T00:05:00Z,1,630170,630288,630294,119,1503448,10886188214,8.88748899150863,0.06706583799373174,1.0,0.7669172932330827
UFCP-1,primary,2020-05-15T00:00:00Z,2020-05-17T00:00:00Z,2020-05-17T00:05:00Z,2020-05-18T00:05:00Z,1,630403,630527,630533,125,1554221,16177900478,9.250426966395231,0.07671431540302183,1.0,0.8296296296296296
UFCP-1,primary,2020-05-17T00:00:00Z,2020-05-19T00:00:00Z,2020-05-19T00:05:00Z,2020-05-20T00:05:00Z,-1,630654,630755,630761,102,1275315,10065014834,8.97362760497306,0.0059444137330777105,0.9854014598540146,0.19708029197080293
UFCP-1,primary,2020-05-18T00:00:00Z,2020-05-20T00:00:00Z,2020-05-20T00:05:00Z,2020-05-21T00:05:00Z,-1,630756,630883,630889,128,1565854,16390960993,9.25605394084482,-0.014389591877659091,1.0,0.11594202898550725
UFCP-1,primary,2020-05-20T00:00:00Z,2020-05-22T00:00:00Z,2020-05-22T00:05:00Z,2020-05-23T00:05:00Z,1,630999,631113,631119,115,1448923,19228599464,9.49333348331536,0.059448983831438935,1.0,0.75
UFCP-1,primary,2020-05-22T00:00:00Z,2020-05-24T00:00:00Z,2020-05-24T00:05:00Z,2020-05-25T00:05:00Z,1,631245,631355,631361,111,1425593,15863953474,9.31721686988239,0.07432205405048986,0.9788732394366197,0.823943661971831
UFCP-1,primary,2020-05-23T00:00:00Z,2020-05-25T00:00:00Z,2020-05-25T00:05:00Z,2020-05-26T00:05:00Z,-1,631356,631474,631480,119,1451888,10803281588,8.914740439258441,-0.008427647311638363,0.9440559440559441,0.13986013986013987
UFCP-1,primary,2020-05-24T00:00:00Z,2020-05-26T00:00:00Z,2020-05-26T00:05:00Z,2020-05-27T00:05:00Z,-1,631475,631590,631596,116,1376368,7343623594,8.582139531831096,-0.14139387140648432,0.8819444444444444,0.013888888888888888
UFCP-1,primary,2020-05-25T00:00:00Z,2020-05-27T00:00:00Z,2020-05-27T00:05:00Z,2020-05-28T00:05:00Z,-1,631591,631715,631721,125,1502330,9237630560,8.72402346258362,-0.03680948926001611,0.896551724137931,0.07586206896551724
UFCP-1,primary,2020-05-27T00:00:00Z,2020-05-29T00:00:00Z,2020-05-29T00:05:00Z,2020-05-30T00:05:00Z,-1,631840,631977,631983,138,1634889,7789905605,8.469009109196762,-0.036723594078864066,0.8299319727891157,0.08163265306122448
UFCP-1,primary,2020-05-29T00:00:00Z,2020-05-31T00:00:00Z,2020-05-31T00:05:00Z,2020-06-01T00:05:00Z,-1,632109,632235,632241,127,1525489,9410951218,8.727314298938678,0.011669045138968553,0.8993288590604027,0.2483221476510067
UFCP-1,primary,2020-05-30T00:00:00Z,2020-06-01T00:00:00Z,2020-06-01T00:05:00Z,2020-06-02T00:05:00Z,-1,632236,632391,632397,156,1705735,6843244870,8.29702119143612,-0.1173353422424937,0.7733333333333333,0.02
UFCP-1,primary,2020-05-31T00:00:00Z,2020-06-02T00:00:00Z,2020-06-02T00:05:00Z,2020-06-03T00:05:00Z,-1,632392,632541,632547,150,1410229,6102644621,8.372725398084102,-0.031588486692586806,0.8079470198675497,0.09271523178807947
UFCP-1,primary,2020-07-14T00:00:00Z,2020-07-16T00:00:00Z,2020-07-16T00:05:00Z,2020-07-17T00:05:00Z,1,639146,639289,639295,144,1788040,6295443097,8.166461284856744,0.07489317912350954,0.75,0.8888888888888888
