origin_position,signal_position,entry_position,exit_position,origin_date,signal_date,entry_date,exit_date,side,branch,delay_bars,hold_bars
2159,2159,2161,2449,2020-01-08 11:55:00,2020-01-08 11:55:00,2020-01-08 12:05:00,2020-01-09 12:05:00,-1,primary_spot_dominant,2,288
3049,3049,3051,3339,2020-01-11 14:05:00,2020-01-11 14:05:00,2020-01-11 14:15:00,2020-01-12 14:15:00,1,primary_perp_dominant,2,288
3434,3434,3436,3724,2020-01-12 22:10:00,2020-01-12 22:10:00,2020-01-12 22:20:00,2020-01-13 22:20:00,1,primary_spot_dominant,2,288
4273,4273,4275,4563,2020-01-15 20:05:00,2020-01-15 20:05:00,2020-01-15 20:15:00,2020-01-16 20:15:00,-1,primary_spot_dominant,2,288
4820,4820,4822,5110,2020-01-17 17:40:00,2020-01-17 17:40:00,2020-01-17 17:50:00,2020-01-18 17:50:00,-1,primary_perp_dominant,2,288
7467,7467,7469,7757,2020-01-26 22:15:00,2020-01-26 22:15:00,2020-01-26 22:25:00,2020-01-27 22:25:00,-1,primary_spot_dominant,2,288
8318,8318,8320,8608,2020-01-29 21:10:00,2020-01-29 21:10:00,2020-01-29 21:20:00,2020-01-30 21:20:00,1,primary_spot_dominant,2,288
9069,9069,9071,9359,2020-02-01 11:45:00,2020-02-01 11:45:00,2020-02-01 11:55:00,2020-02-02 11:55:00,-1,primary_spot_dominant,2,288
9378,9378,9380,9668,2020-02-02 13:30:00,2020-02-02 13:30:00,2020-02-02 13:40:00,2020-02-03 13:40:00,1,primary_perp_dominant,2,288
10601,10601,10603,10891,2020-02-06 19:25:00,2020-02-06 19:25:00,2020-02-06 19:35:00,2020-02-07 19:35:00,-1,primary_spot_dominant,2,288
10905,10905,10907,11195,2020-02-07 20:45:00,2020-02-07 20:45:00,2020-02-07 20:55:00,2020-02-08 20:55:00,-1,primary_spot_dominant,2,288
11221,11221,11223,11511,2020-02-08 23:05:00,2020-02-08 23:05:00,2020-02-08 23:15:00,2020-02-09 23:15:00,1,primary_perp_dominant,2,288
12343,12343,12345,12633,2020-02-12 20:35:00,2020-02-12 20:35:00,2020-02-12 20:45:00,2020-02-13 20:45:00,1,primary_spot_dominant,2,288
12928,12928,12930,13218,2020-02-14 21:20:00,2020-02-14 21:20:00,2020-02-14 21:30:00,2020-02-15 21:30:00,-1,primary_perp_dominant,2,288
13228,13228,13230,13518,2020-02-15 22:20:00,2020-02-15 22:20:00,2020-02-15 22:30:00,2020-02-16 22:30:00,1,primary_spot_dominant,2,288
13869,13869,13871,14159,2020-02-18 03:45:00,2020-02-18 03:45:00,2020-02-18 03:55:00,2020-02-19 03:55:00,1,primary_spot_dominant,2,288
14937,14937,14939,15227,2020-02-21 20:45:00,2020-02-21 20:45:00,2020-02-21 20:55:00,2020-02-22 20:55:00,1,primary_spot_dominant,2,288
15538,15538,15540,15828,2020-02-23 22:50:00,2020-02-23 22:50:00,2020-02-23 23:00:00,2020-02-24 23:00:00,1,primary_spot_dominant,2,288
15830,15830,15832,16120,2020-02-24 23:10:00,2020-02-24 23:10:00,2020-02-24 23:20:00,2020-02-25 23:20:00,1,primary_perp_dominant,2,288
17020,17020,17022,17310,2020-02-29 02:20:00,2020-02-29 02:20:00,2020-02-29 02:30:00,2020-03-01 02:30:00,1,primary_spot_dominant,2,288
17602,17602,17604,17892,2020-03-02 02:50:00,2020-03-02 02:50:00,2020-03-02 03:00:00,2020-03-03 03:00:00,1,primary_spot_dominant,2,288
18055,18055,18057,18345,2020-03-03 16:35:00,2020-03-03 16:35:00,2020-03-03 16:45:00,2020-03-04 16:45:00,1,primary_spot_dominant,2,288
19380,19380,19382,19670,2020-03-08 07:00:00,2020-03-08 07:00:00,2020-03-08 07:10:00,2020-03-09 07:10:00,1,primary_spot_dominant,2,288
20086,20086,20088,20376,2020-03-10 17:50:00,2020-03-10 17:50:00,2020-03-10 18:00:00,2020-03-11 18:00:00,-1,primary_spot_dominant,2,288
20743,20743,20745,21033,2020-03-13 00:35:00,2020-03-13 00:35:00,2020-03-13 00:45:00,2020-03-14 00:45:00,-1,primary_spot_dominant,2,288
25099,25099,25101,25389,2020-03-28 03:35:00,2020-03-28 03:35:00,2020-03-28 03:45:00,2020-03-29 03:45:00,-1,primary_spot_dominant,2,288
26312,26312,26314,26602,2020-04-01 08:40:00,2020-04-01 08:40:00,2020-04-01 08:50:00,2020-04-02 08:50:00,1,primary_spot_dominant,2,288
